Compound;casnr;type
2-4-D;94757;Herbicide
2-n-Octyl-4-isothiazolin-3-on-(OIT);26530201;Fungicide
Acetamiprid;135410207;Insecticide
Acetochlor;34256821;Herbicide
Alachlor;15972608;Herbicide
Aldicarb;116063;Insecticide
Amidosulfuron;120923377;Herbicide
Atrazin;1912249;Herbicide
Asulam;3337711;Herbicide
Azoxystrobin;131860338;Fungicide
Benalaxyl;98243835;Fungicide
Bentazon;25057890;Herbicide
Benthiavalicarb-isopropyl;177406687;Fungicide
Bixafen;581809463;Fungicide
Boscalid;188425856;Fungicide
Bromazil;314409;Herbicide
Bromoxynil;1689845;Herbicide
Carbetamid;16118493;Herbicide
Carbofuran;1563662;Insecticide
Chlorantraniliprole;500008457;Insecticide
Chloridazon;1698608;Herbicide
Chlorfenvinphos;470906;Insecticide
Chlortoluron;15545489;Herbicide
Clomazon;81777891;Herbicide
Clothianidin;210880925;Insecticide
Cycloxydim;101205021;Herbicide
Cycluron;2163691;Herbicide
Cyflufenamid;180409603;Fungicide
Cymoxanil;57966957;Fungicide
Cyproconazol;94361065;Fungicide
Cyprodinil;121552612;Fungicide
Cyromazin;66215278;Insecticide
Diazinon;333415;Insecticide
Dicamba;1918009;Herbicide
Dichlorprop;120365;Herbicide
Dichlorvos;62737;Insecticide
Difenoconazol;119446683;Fungicide
Diflufenican;83164334;Herbicide
Dimefuron;34205215;Herbicide
Dimethachlor;50563365;Herbicide
Dimethenamid;87674688;Herbicide
Dimethoat;60515;Insecticide
Dimethomorph;110488705;Fungicide
Dinoseb;88857;Herbicide
Diuron;330541;Herbicide
Epoxiconazol;135319732;Fungicide
Ethephon;16672870;Plant growth regulator
Ethofumesat;26225796;Herbicide
Fenamidone;161326347;Fungicide
Fenhexamid;126833178;Fungicide
Fenoxycarb;79127803;Insecticide
Fenpropidin;67306007;Fungicide
Fenpropimorph;67306030;NA
Fipronil;120068373;Insecticide
Flonicamid;158062670;Insecticide
Fluazifop;69335917;Metabolite
Fluazinam;79622596;Fungicide
Fludioxonil;131341861;Fungicide
Flufenacet;142459583;Herbicide
Flusilazol;85509199;Fungicide
Fluopicolide;239110157;Fungicide
Fluopyram;658066354;Fungicide
Fluoxastrobin;361377299;Fungicide
Flurochloridon;61213250;Herbicide
Fluroxypyr-(freie-Saeure);69377817;Herbicide
Foramsulfuron;173159574;Herbicide
Haloxyfop;69806344;Herbicide
Hexazinon;51235042;Herbicide
Imazamox;114311329;Herbicide
Imidacloprid;138261413;Insecticide
Indoxacarb;173584446;Insecticide
Iodosulfuron-methyl;144550367;Herbicide
Isoproturon;34123596;Herbicide
Ioxynil;1689834;Herbicide
IPBC-(-Iodocarb);55406536;NA
Iprovalicarb;140923177;Fungicide
Irgarol;28159980;Herbicide
Kresoxim-methyl;143390890;Fungicide
Lenacil;2164081;Herbicide
Linuron;330552;Herbicide
Maleic-hydrazide;123331;Herbicide
Mandipropamid;374726622;Fungicide
MCPA;94746;Herbicide
MCPB;94815;Herbicide
Mecoprop;93652;NA
Mefenpyr-diethyl;135590919;Other substance
Mepanipyrim;110235477;Fungicide
Mesosulfuron-methyl;208465218;Herbicide
Mesotrion;104206828;Herbicide
Metalaxyl;57837191;Fungicide
Metamitron;41394052;Herbicide
Metazachlor;67129082;Herbicide
Metconazole;125116236;Fungicide
Methidathion;950378;Insecticide
Methiocarb;2032657;Insecticide
Methomyl;16752775;Insecticide
Methoxyfenozid;161050584;Insecticide
Metolachlor;51218452;Herbicide
Metosulam;139528851;Herbicide
Metoxuron;19937598;Herbicide
Metrafenone;220899036;Fungicide
Metribuzin;21087649;Herbicide
Metsulfuron-methyl;74223646;Herbicide
Monolinuron;1746812;Herbicide
Monuron;150685;Herbicide
Myclobutanil;88671890;Fungicide
N-(2-4-dimethylphenyl)-N-methylformamidin;33089746;NA
Napropamid;15299997;Herbicide
Nicosulfuron;111991094;Herbicide
Penconazol;66246886;Fungicide
N-N-diethyl-3-methylbenzamid-(DEET);134623;Insecticide
N-N-dimethyl-N-(4-methylphenyl)-sulfamid;66840719;Metabolite
Novaluron;116714466;"Insecticide; Insect growth regulator"
Orbencarb;34622587;Herbicide
Oryzalin;19044883;Herbicide
Oxasulfuron;144651069;Herbicide
Oxyfluorfen;42874033;Herbicide
Pencycuron;66063056;Fungicide
Pethoxamid;106700292;Herbicide
Picaridin-(Icaridin);119515387;Insecticide
Picoxystrobin;117428225;Fungicide
Pinoxaden;243973208;Herbicide
Piperonyl-butoxide;51036;Other substance, Veterinary substance
Pirimicarb;23103982;Insecticide
Prochloraz;67747095;Fungicide
Prometon;1610180;Herbicide
Prometryn;7287196;Herbicide
Propachlor;1918167;Herbicide
Propamocarb;24579735;Fungicide
Propaquizafop;111479051;Herbicide
Propiconazol;60207901;Fungicide
Propyzamide;23950585;Herbicide
Proquinazid;189278124;Fungicide
Prosulfocarb;52888809;Herbicide
Prosulfuron;94125345;Herbicide
Prothioconazole;178928706;Fungicide
Pymetrozin;123312890;Insecticide
Pyraclostrobin;175013180;Fungicide
Pyrimethanil;53112280;Fungicide
Pyroxsulam;422556089;Herbicide
Simazin;122349;Herbicide
Quinoclamine;2797515;Herbicide
Rimsulfuron;122931480;Herbicide
Simeton;673041;NA
Spirotetramat;203313251;Insecticide
Spiroxamin;118134308;Fungicide
Sulcotrion;99105778;Herbicide
Sulfentrazon;122836355;Herbicide
Sulfosulfuron;141776321;Herbicide
Tebuconazol;107534963;Fungicide
Tebufenozid;112410238;Insecticide
Tebutam;35256850;Herbicide
Teflubenzuron;83121180;Insecticide
Tembotrione;335104842;Herbicide
Tepraloxydim;149979419;Herbicide
Terbacil;5902512;Herbicide
Terbumeton;33693048;Herbicide
Terbutryn;886500;Herbicide
Terbutylazin;5915413;Herbicide
Thiabendazol;148798;Fungicide
Thiacloprid;111988499;Insecticide
Thiamethoxam;153719234;Insecticide
Thiencarbazone;317815831;Herbicide
Thifensulfuron-methyl;79277273;Herbicide
Triazoxide;72459586;Fungicide
Tribenuron-methyl;101200480;Herbicide
Triclocarban;101202;other
Triclosan;3380345;other
Trifloxystrobin;141517217;Fungicide
Triflusulfuron-methyl;126535157;Herbicide
Trinexapac-ethyl;95266403;Plant growth regulator
Tritosulfuron;142469145;Herbicide
Carbendazim;10605217;Fungicide
Empethrin;54406483;Insecticide
Tefluthrin;79538322;Insecticide
Chlorpyrifos-methyl;5598130;Insecticide
Chlorpyrifos;2921882;Insecticide
Allethrin;584792;Insecticide
Imiprothrin;72963725;Insecticide
Bifenthrin;82657043;Insecticide
Tetramethrin;7696120;Insecticide
Fenpropathrin;39515418;Insecticide
Phenothrin;26002802;Insecticide
lambda-Cyhalothrin;91465086;Insecticide
Acrinathrin;101007061;Insecticide
Permethrin;52645531;Insecticide
Cypermethrin-alpha;52315078;Insecticide
Etofenprox;80844071;Insecticide
Esfenvalerate;66230044;Insecticide
Fluvalinate-tau;102851069;Insecticide
Deltamethrin;52918635;Insecticide
5-Chloro-2-methyl-4-isothiazolin-3-on-(CMI);26172554;other
Atraton;1610179;Herbicide
