"Compound";"Code";"site";"Rainfallevent";"conc_water"
"1";"2-4-D";"CH39";"Q";"2";0.0801215048860612
"2";"2-4-D";"CH35";"M";"2";0.524294291028429
"3";"2-4-D";"CH85";"P";"B";0.127933492340986
"4";"2-4-D";"CH66";"T";"3";1.3849294736476
"5";"2-4-D";"CH65";"S";"3";3.66225204169891
"6";"2-4-D";"CH43";"A";"3";0.0654851274954285
"7";"2-4-D";"CH41";"S";"2";1.10442871759675
"8";"2-4-D";"CH68";"B";"B";0.00530603175858791
"9";"2-4-D";"CH58";"M";"3";0.297082104536538
"10";"2-4-D";"RO14";"N";"1";0.0330012174758548
"11";"2-4-D";"CH54";"I";"3";36.220310369691
"12";"2-4-D";"CH84";"O";"B";0.117888091523438
"13";"2-4-D";"CH36";"N";"2";1.2685259456805
"14";"2-4-D";"CH49";"E";"3";0.315404114763509
"15";"2-4-D";"RO3";"C";"1";0.081458449629669
"16";"2-4-D";"CH27";"E";"2";0.0859657894669248
"17";"2-4-D";"CH21";"A";"2";0.568779024287311
"18";"2-4-D";"CH87";"Q";"B";0.218549280217043
"19";"2-4-D";"CH50";"F";"3";2.95054136488228
"20";"2-4-D";"CH38";"P";"2";0.437438984130222
"21";"2-4-D";"RO13";"M";"1";0.506809170242484
"22";"2-4-D";"CH93";"T";"B";0.118403542117093
"23";"2-4-D";"CH70";"D";"B";0.0242099126648955
"24";"2-4-D";"RO6";"E";"1";0.0735693669849058
"25";"2-4-D";"CH29";"G";"2";2.42206081046872
"26";"2-4-D";"CH32";"I";"2";12.7520631498711
"27";"2-4-D";"CH51";"G";"3";1.0751947436266
"28";"2-4-D";"RO9";"H";"1";2.29278502618506
"29";"2-4-D";"RO8";"G";"1";0.365275847351589
"30";"2-4-D";"RO1";"A";"1";0.0207541097079695
"31";"2-4-D";"CH57";"L";"3";0.0150208181802565
"32";"2-4-D";"CH60";"N";"3";0.271956429739016
"33";"2-4-D";"CH23";"C";"2";1.11762828446713
"34";"2-4-D";"CH33";"K";"2";0.145569321030867
"35";"2-4-D";"CH83";"N";"B";0.106499870459034
"36";"2-4-D";"RO7";"F";"1";0.599467435956763
"37";"2-4-D";"CH90";"S";"B";1.98854355889724
"38";"2-4-D";"CH46";"C";"3";0.506905263051666
"39";"2-4-D";"CH71";"E";"B";0.0427621607661813
"40";"2-4-D";"CH62";"Q";"3";0.0791732232533395
"41";"2-4-D";"RO19";"S";"1";0.445764010535719
"42";"2-4-D";"CH61";"P";"3";0.271893144176016
"43";"2-4-D";"CH47";"D";"3";0.0666241675291504
"44";"2-4-D";"CH67";"A";"B";0.0483496341276725
"45";"2-4-D";"CH56";"K";"3";0.0958237866963251
"46";"2-4-D";"CH63";"R";"3";0.0214750919986225
"47";"2-4-D";"CH40";"R";"2";0.118574375424663
"48";"2-4-D";"CH72";"F";"B";1.03736935960723
"49";"2-4-D";"CH77";"I";"B";0.211363412687454
"50";"2-4-D";"RO2";"B";"1";0.0273940882634542
"51";"2-4-D";"CH74";"G";"B";0.275127775875946
"52";"2-4-D";"RO17";"Q";"1";0.0314803178954933
"53";"2-4-D";"RO15";"O";"1";0.169952637347662
"54";"2-4-D";"CH69";"C";"B";0.0380606122533222
"55";"2-4-D";"CH88";"R";"B";0.0232433950507804
"56";"2-4-D";"RO16";"P";"1";0.0957141436622757
"57";"2-4-D";"RO4";"D";"1";0.0473831419454724
"58";"2-4-D";"CH30";"H";"2";5.80501451789649
"59";"2-4-D";"CH82";"M";"B";0.0109601875659225
"60";"2-4-D";"CH28";"F";"2";2.52370360911349
"61";"2-4-D";"CH37";"O";"2";0.924557141777374
"62";"2-4-D";"CH42";"T";"2";0.482798478089949
"63";"2-4-D";"CH25";"D";"2";0.070856161087224
"64";"2-4-D";"CH78";"K";"B";0.0142294870045412
"65";"2-4-D";"CH76";"H";"B";0.208100459695013
"66";"2-4-D";"CH34";"L";"2";0.0379783435042688
"67";"2-4-D";"CH53";"H";"3";0.732919012436033
"115";"Acetamiprid";"CH29";"G";"2";0.00111408871740737
"116";"Acetamiprid";"RO3";"C";"1";0.00206078916774974
"117";"Acetamiprid";"CH88";"R";"B";0.000840038027452573
"118";"Acetamiprid";"CH60";"N";"3";0.00185234315983646
"119";"Acetamiprid";"CH51";"G";"3";0.0021474458104849
"120";"Acetamiprid";"CH68";"B";"B";0.000805412783195283
"121";"Acetamiprid";"RO18";"R";"1";0.00381897318165974
"122";"Acetamiprid";"RO17";"Q";"1";0.000339930962618249
"123";"Acetamiprid";"CH72";"F";"B";0.00175862183665981
"124";"Acetamiprid";"CH87";"Q";"B";0.000600978556149933
"125";"Acetamiprid";"CH36";"N";"2";0.000534866658963871
"126";"Acetamiprid";"CH76";"H";"B";0.000921315782969799
"127";"Acetamiprid";"CH50";"F";"3";0.00347484071067954
"128";"Acetamiprid";"CH74";"G";"B";0.00120467812959311
"143";"Alachlor";"CH66";"T";"3";0.020112438920858
"144";"Alachlor";"CH85";"P";"B";0.00147083411683901
"145";"Alachlor";"CH72";"F";"B";0.0143014408517614
"146";"Alachlor";"CH93";"T";"B";0.00152410085121319
"147";"Alachlor";"CH58";"M";"3";0.00152799261813041
"148";"Alachlor";"CH51";"G";"3";0.106835100828718
"149";"Alachlor";"CH71";"E";"B";0.00129376525859675
"150";"Alachlor";"CH49";"E";"3";0.0115191880116178
"151";"Alachlor";"CH38";"P";"2";0.00191630423594401
"152";"Alachlor";"CH29";"G";"2";0.268468444591522
"153";"Alachlor";"CH36";"N";"2";0.000582083567792031
"154";"Alachlor";"CH74";"G";"B";0.0158155347690268
"155";"Alachlor";"CH54";"I";"3";0.00584282697071857
"156";"Alachlor";"CH32";"I";"2";0.000835927089825543
"157";"Alachlor";"CH82";"M";"B";0.0137945380048964
"158";"Alachlor";"CH61";"P";"3";0.00182192929808662
"159";"Alachlor";"CH35";"M";"2";0.000589177671445676
"160";"Alachlor";"CH42";"T";"2";0.012384215786918
"174";"Atrazin";"RO9";"H";"1";0.00203520765095765
"175";"Atrazin";"CH53";"H";"3";0.00222451034893884
"176";"Atrazin";"CH50";"F";"3";0.021675061642121
"177";"Atrazin";"CH58";"M";"3";0.0254486606515181
"178";"Atrazin";"CH35";"M";"2";0.024867048488815
"179";"Atrazin";"CH87";"Q";"B";0.017482723789547
"180";"Atrazin";"CH46";"C";"3";0.0563970844655273
"181";"Atrazin";"CH23";"C";"2";0.592665818722585
"182";"Atrazin";"CH41";"S";"2";0.00310148467360646
"183";"Atrazin";"CH74";"G";"B";0.0256173999549967
"184";"Atrazin";"RO2";"B";"1";0.00154144323938856
"185";"Atrazin";"CH62";"Q";"3";0.057500754080272
"186";"Atrazin";"CH76";"H";"B";0.0151136114777414
"187";"Atrazin";"CH85";"P";"B";0.285888119918473
"188";"Atrazin";"CH21";"A";"2";0.00382043368455415
"189";"Atrazin";"CH30";"H";"2";0.00412229138826888
"190";"Atrazin";"RO1";"A";"1";0.00144964245783255
"191";"Atrazin";"RO6";"E";"1";0.00498688105819639
"192";"Atrazin";"CH88";"R";"B";0.00117898126766792
"193";"Atrazin";"CH93";"T";"B";0.0135503125487794
"194";"Atrazin";"CH28";"F";"2";0.0110854478128679
"195";"Atrazin";"CH84";"O";"B";0.00674566173173243
"196";"Atrazin";"CH43";"A";"3";0.00326972022786929
"197";"Atrazin";"CH66";"T";"3";0.089750630657211
"198";"Atrazin";"CH72";"F";"B";0.0144985198808371
"199";"Atrazin";"CH29";"G";"2";0.0213219199405008
"200";"Atrazin";"CH33";"K";"2";0.0382612688240017
"201";"Atrazin";"CH39";"Q";"2";0.00530334300733005
"202";"Atrazin";"CH69";"C";"B";0.0143329391088966
"203";"Atrazin";"RO16";"P";"1";0.0159418425610597
"204";"Atrazin";"CH65";"S";"3";0.00425562573560264
"205";"Atrazin";"CH67";"A";"B";0.00318771336407265
"206";"Atrazin";"RO10";"I";"1";0.00630506981648502
"207";"Atrazin";"CH37";"O";"2";0.00617447030328506
"208";"Atrazin";"RO7";"F";"1";0.011972738704272
"209";"Atrazin";"CH25";"D";"2";0.0102408679702822
"210";"Atrazin";"CH60";"N";"3";0.00658374938074464
"211";"Atrazin";"CH70";"D";"B";0.132508180250627
"212";"Atrazin";"CH71";"E";"B";0.00743236493428907
"213";"Atrazin";"CH77";"I";"B";0.00829470390045824
"214";"Atrazin";"RO17";"Q";"1";0.00297405636198911
"215";"Atrazin";"CH38";"P";"2";0.0338466213822219
"216";"Atrazin";"CH27";"E";"2";0.010760974927328
"217";"Atrazin";"CH83";"N";"B";0.00718781559090601
"218";"Atrazin";"CH80";"L";"B";0.00041714680646958
"219";"Atrazin";"CH63";"R";"3";0.0014556837159266
"220";"Atrazin";"CH78";"K";"B";0.00222586661935481
"221";"Atrazin";"CH82";"M";"B";0.0424533463212385
"222";"Atrazin";"CH36";"N";"2";0.0102365133970751
"223";"Atrazin";"CH32";"I";"2";0.00987880453606478
"224";"Atrazin";"CH47";"D";"3";0.00796366281644712
"225";"Atrazin";"CH54";"I";"3";0.00939037946223703
"226";"Atrazin";"RO11";"K";"1";0.00388059020074368
"227";"Atrazin";"CH51";"G";"3";0.0942531620968885
"228";"Atrazin";"RO13";"M";"1";0.0182286171275902
"229";"Atrazin";"RO4";"D";"1";0.00741197162925959
"230";"Atrazin";"CH42";"T";"2";0.00813077603567227
"231";"Atrazin";"RO14";"N";"1";0.00244164667779476
"232";"Atrazin";"RO3";"C";"1";0.00430257704672164
"233";"Atrazin";"CH61";"P";"3";0.0312045857694752
"234";"Atrazin";"CH56";"K";"3";0.00607943028766183
"235";"Atrazin";"CH90";"S";"B";0.0033163338827486
"236";"Atrazin";"CH49";"E";"3";0.00927176039697465
"237";"Azoxystrobin";"CH36";"N";"2";0.000393978333657499
"238";"Azoxystrobin";"CH32";"I";"2";0.00052807082715062
"239";"Azoxystrobin";"CH53";"H";"3";0.000203847514258127
"240";"Azoxystrobin";"CH88";"R";"B";0.00350633514865113
"241";"Azoxystrobin";"CH71";"E";"B";0.000817295788785245
"242";"Azoxystrobin";"CH44";"B";"3";0.000798737698001671
"243";"Azoxystrobin";"CH80";"L";"B";0.000735852291128695
"244";"Azoxystrobin";"CH29";"G";"2";0.000410314242881632
"245";"Azoxystrobin";"CH90";"S";"B";0.000480356446862327
"246";"Azoxystrobin";"CH61";"P";"3";0.00025020585271257
"247";"Azoxystrobin";"CH70";"D";"B";0.000326917652187184
"248";"Azoxystrobin";"CH51";"G";"3";0.000351509050736978
"249";"Azoxystrobin";"CH49";"E";"3";0.00055976055396705
"250";"Azoxystrobin";"CH66";"T";"3";0.000264695938253876
"251";"Azoxystrobin";"CH37";"O";"2";0.000264044713375533
"252";"Azoxystrobin";"CH57";"L";"3";0.000311010688533459
"253";"Azoxystrobin";"CH84";"O";"B";0.000266281027072089
"254";"Azoxystrobin";"CH82";"M";"B";0.000408481335222139
"255";"Azoxystrobin";"CH25";"D";"2";0.000328454942097363
"256";"Azoxystrobin";"CH43";"A";"3";0.00025422934290238
"257";"Azoxystrobin";"CH76";"H";"B";0.000710949428235944
"258";"Azoxystrobin";"CH40";"R";"2";0.000200873383802935
"259";"Azoxystrobin";"CH77";"I";"B";0.00117470309533214
"260";"Azoxystrobin";"CH62";"Q";"3";0.000129418901620083
"261";"Azoxystrobin";"CH87";"Q";"B";0.000531210968897205
"262";"Azoxystrobin";"CH85";"P";"B";0.000794670764174989
"263";"Azoxystrobin";"CH58";"M";"3";7.0975118133294e-05
"264";"Azoxystrobin";"CH68";"B";"B";0.000527342541525597
"265";"Azoxystrobin";"CH60";"N";"3";0.000909613713055079
"266";"Azoxystrobin";"CH69";"C";"B";0.000459699773374575
"267";"Azoxystrobin";"CH65";"S";"3";0.000129990963064349
"268";"Azoxystrobin";"CH46";"C";"3";0.000334966925444266
"269";"Azoxystrobin";"RO16";"P";"1";0.000309159390189535
"270";"Azoxystrobin";"CH21";"A";"2";0.000476515722105845
"271";"Azoxystrobin";"CH30";"H";"2";0.00024038924384702
"272";"Azoxystrobin";"RO19";"S";"1";0.00023074204443533
"273";"Azoxystrobin";"CH83";"N";"B";0.000467751194413863
"274";"Azoxystrobin";"CH50";"F";"3";0.000379190929586985
"275";"Azoxystrobin";"CH22";"B";"2";0.00261005962899838
"276";"Azoxystrobin";"CH34";"L";"2";0.000202205148287051
"277";"Azoxystrobin";"RO17";"Q";"1";0.000238466971990586
"278";"Azoxystrobin";"CH63";"R";"3";0.000133394527554894
"279";"Azoxystrobin";"CH35";"M";"2";0.00146219303135089
"280";"Azoxystrobin";"CH54";"I";"3";0.000256321071279177
"281";"Azoxystrobin";"CH67";"A";"B";0.000702895882826768
"282";"Azoxystrobin";"CH38";"P";"2";0.00032895797322831
"283";"Azoxystrobin";"CH42";"T";"2";0.000717139635460692
"284";"Azoxystrobin";"CH33";"K";"2";0.000904217351275835
"285";"Azoxystrobin";"CH27";"E";"2";0.000104192094003689
"286";"Azoxystrobin";"CH56";"K";"3";0.000205247705762262
"287";"Azoxystrobin";"CH72";"F";"B";0.000730730689451406
"288";"Azoxystrobin";"CH93";"T";"B";0.000534890613572187
"289";"Azoxystrobin";"CH74";"G";"B";0.00124887125757767
"290";"Azoxystrobin";"CH41";"S";"2";0.000205807845216207
"291";"Azoxystrobin";"CH78";"K";"B";0.000203971798846458
"292";"Azoxystrobin";"CH28";"F";"2";0.000193932609302516
"293";"Azoxystrobin";"CH39";"Q";"2";0.00018899322742411
"294";"Azoxystrobin";"CH47";"D";"3";0.000193988531978537
"295";"Azoxystrobin";"CH23";"C";"2";0.000330583421056319
"307";"Benthiavalicarb-isopropyl";"CH44";"B";"3";0.00144433504020115
"308";"Benthiavalicarb-isopropyl";"CH68";"B";"B";0.00131117080754684
"309";"Boscalid";"CH35";"M";"2";0.000673750312749921
"310";"Boscalid";"RO16";"P";"1";0.000602692863759234
"311";"Boscalid";"CH25";"D";"2";0.000887894741626356
"312";"Boscalid";"CH23";"C";"2";0.00195485619299595
"319";"Carbendazim";"CH88";"R";"B";0.00518439537669158
"320";"Carbendazim";"CH30";"H";"2";0.0117581613252449
"321";"Carbendazim";"CH22";"B";"2";0.00975225403202454
"322";"Carbendazim";"CH40";"R";"2";0.00259279322494647
"323";"Carbendazim";"CH82";"M";"B";0.000693751783252205
"324";"Carbendazim";"CH83";"N";"B";0.00245133412851788
"325";"Carbendazim";"CH33";"K";"2";0.0118467834997088
"326";"Carbendazim";"CH70";"D";"B";0.00119928946267666
"327";"Carbendazim";"CH44";"B";"3";0.00147987365410398
"328";"Carbendazim";"CH60";"N";"3";0.00516424350304807
"329";"Carbendazim";"RO17";"Q";"1";0.00184682172713513
"330";"Carbendazim";"CH39";"Q";"2";0.00693317062112055
"331";"Carbendazim";"CH87";"Q";"B";0.00408993666901175
"332";"Carbendazim";"CH84";"O";"B";0.00909008985506838
"333";"Carbendazim";"CH78";"K";"B";0.0037413279369157
"334";"Carbendazim";"CH29";"G";"2";0.00445993430824422
"335";"Carbendazim";"CH36";"N";"2";0.0109735736414477
"336";"Carbendazim";"CH49";"E";"3";0.00983953411673313
"337";"Carbendazim";"RO6";"E";"1";0.00218867361884264
"338";"Carbendazim";"CH62";"Q";"3";0.00329701455281847
"339";"Carbendazim";"RO2";"B";"1";0.00126533353080608
"340";"Carbendazim";"RO4";"D";"1";0.00166111280182119
"341";"Carbendazim";"CH23";"C";"2";0.0505307186121597
"342";"Carbendazim";"CH42";"T";"2";0.00544763547219244
"343";"Carbendazim";"CH93";"T";"B";0.00967489989233756
"344";"Carbendazim";"CH28";"F";"2";0.00421592334519633
"345";"Carbendazim";"CH35";"M";"2";0.0379274113343341
"346";"Carbendazim";"CH51";"G";"3";0.00831012664650811
"347";"Carbendazim";"CH21";"A";"2";0.01109896093216
"348";"Carbendazim";"CH56";"K";"3";0.00808720015038768
"349";"Carbendazim";"CH74";"G";"B";0.0113866543299345
"350";"Carbendazim";"CH25";"D";"2";0.00749733583420715
"351";"Carbendazim";"CH63";"R";"3";0.00448575034175294
"352";"Carbendazim";"RO14";"N";"1";0.0056329685069273
"353";"Carbendazim";"CH46";"C";"3";0.00409606008672067
"354";"Carbendazim";"CH58";"M";"3";0.00448415854424294
"355";"Carbendazim";"CH66";"T";"3";0.00404596090479976
"356";"Carbendazim";"CH90";"S";"B";0.0139855234305678
"357";"Carbendazim";"CH53";"H";"3";0.0290814864818748
"358";"Carbendazim";"RO10";"I";"1";0.00641102693333529
"359";"Carbendazim";"CH71";"E";"B";0.00180449012140963
"360";"Carbendazim";"CH32";"I";"2";0.0106277767187742
"361";"Carbendazim";"CH41";"S";"2";0.0195741020448582
"362";"Carbendazim";"CH76";"H";"B";0.00355650095566172
"363";"Carbendazim";"CH68";"B";"B";0.002149492554136
"364";"Carbendazim";"RO3";"C";"1";0.010312222186279
"365";"Carbendazim";"CH65";"S";"3";0.00317912459408385
"366";"Carbendazim";"CH80";"L";"B";0.000818017044903115
"367";"Carbendazim";"CH61";"P";"3";0.00152979015077474
"368";"Carbendazim";"RO11";"K";"1";0.00322838490820402
"369";"Carbendazim";"CH38";"P";"2";0.0174311847787209
"370";"Carbendazim";"CH77";"I";"B";0.00309823969598395
"371";"Carbendazim";"CH47";"D";"3";0.00579856620020654
"372";"Carbendazim";"CH72";"F";"B";0.0135387261458906
"373";"Carbendazim";"CH67";"A";"B";0.00221391211657977
"374";"Carbendazim";"CH27";"E";"2";0.00769761026529918
"375";"Carbendazim";"RO19";"S";"1";0.00470261990436992
"376";"Carbendazim";"RO9";"H";"1";0.00532133858737649
"377";"Carbendazim";"CH54";"I";"3";0.00365675186011148
"378";"Carbendazim";"CH43";"A";"3";0.00660615867903491
"379";"Carbendazim";"CH34";"L";"2";0.00769258179134706
"380";"Carbendazim";"CH50";"F";"3";0.00128801176901252
"381";"Carbendazim";"CH69";"C";"B";0.00963655684306367
"382";"Carbendazim";"CH85";"P";"B";0.00809786218670162
"383";"Carbendazim";"RO1";"A";"1";0.00516858473773416
"384";"Carbendazim";"CH37";"O";"2";0.00578494297555211
"385";"Carbendazim";"RO7";"F";"1";0.00901187867875108
"386";"Carbendazim";"CH57";"L";"3";0.00177478801587963
"387";"Chlortoluron";"CH85";"P";"B";0.670789970874565
"388";"Chlortoluron";"CH61";"P";"3";0.00137280908953748
"389";"Chlortoluron";"CH38";"P";"2";0.00123764558318287
"390";"Chlortoluron";"RO16";"P";"1";0.000969297460737811
"391";"Clothianidin";"CH71";"E";"B";0.000393199741833425
"392";"Clothianidin";"CH50";"F";"3";0.00170266292596546
"393";"Clothianidin";"CH84";"O";"B";0.0358700694537299
"394";"Clothianidin";"CH65";"S";"3";0.000500307612680095
"395";"Clothianidin";"CH35";"M";"2";0.000255803203387615
"396";"Clothianidin";"CH85";"P";"B";0.00552886130441991
"397";"Clothianidin";"CH87";"Q";"B";0.00374828339286897
"398";"Clothianidin";"CH39";"Q";"2";0.00860750511924739
"399";"Clothianidin";"CH70";"D";"B";0.000251647324172506
"400";"Clothianidin";"CH29";"G";"2";0.005658844393241
"401";"Clothianidin";"CH68";"B";"B";0.000761111047056176
"402";"Clothianidin";"CH41";"S";"2";0.00541275639555977
"403";"Clothianidin";"CH62";"Q";"3";0.0124526467415222
"404";"Clothianidin";"CH51";"G";"3";0.00243519064521965
"405";"Clothianidin";"CH37";"O";"2";0.00190547255760462
"406";"Clothianidin";"CH28";"F";"2";0.000995207241013448
"407";"Clothianidin";"CH38";"P";"2";0.0017725251365901
"408";"Clothianidin";"CH72";"F";"B";0.00178972643169871
"409";"Clothianidin";"CH61";"P";"3";0.00577793516864305
"422";"Cyproconazol";"CH29";"G";"2";0.000174493863240509
"423";"Cyproconazol";"CH40";"R";"2";8.54251914722814e-06
"424";"Cyproconazol";"CH39";"Q";"2";0.000482237586703107
"425";"Cyproconazol";"CH32";"I";"2";0.000252643578255686
"426";"Cyproconazol";"CH74";"G";"B";0.0285120081664591
"427";"Cyproconazol";"CH38";"P";"2";0.00486836606544739
"428";"Cyproconazol";"CH49";"E";"3";0.00107121925355126
"429";"Cyproconazol";"CH72";"F";"B";0.000339007630555961
"430";"Cyproconazol";"CH71";"E";"B";0.00104271130288166
"431";"Cyproconazol";"CH37";"O";"2";0.311604721405245
"432";"Cyproconazol";"CH84";"O";"B";0.045013307132768
"433";"Cyproconazol";"CH50";"F";"3";0.000806290439063319
"434";"Cyproconazol";"CH51";"G";"3";8.96915083371264e-05
"435";"Cyproconazol";"CH85";"P";"B";0.00319751477692477
