casnr;subst_name;variable_id;cas;ec50f_al4896_fin;ec50f_al4896_tax;ec50f_al4896_n;ec50f_al4896_src;ec50f_da48_fin;ec50f_da48_tax;ec50f_da48_n;ec50f_da48_src;ec50f_fi96_fin;ec50f_fi96_tax;ec50f_fi96_n;ec50f_fi96_src;ec50f_ma4896_fin;ec50f_ma4896_tax;ec50f_ma4896_n;ec50f_ma4896_src
319857;BETA-HEXACHLOROCYCLOHEXANE;NA;319-85-7;NA;NA;NA;NA;1084;Daphnia magna;1;malaj;82;Pimephales promelas;1;malaj;1084;Daphnia magna;1;malaj
319868;Delta-HCH;NA;NA;NA;NA;NA;NA;1084;Daphnia magna;1;malaj;82;Pimephales promelas;1;malaj;1084;Daphnia magna;1;malaj
32598133;PCB77;NA;NA;NA;NA;NA;NA;2;Daphnia magna;1;malaj;2;Pimephales promelas;1;malaj;2;Daphnia magna;1;malaj
32598144;PCB105 (2,3,3',4,4'-pentachlorobiphenyl);NA;NA;NA;NA;NA;NA;10;Daphnia magna;1;malaj;8.9;Pimephales promelas;1;malaj;10;Daphnia magna;1;malaj
32774166;PCB169;NA;NA;NA;NA;NA;NA;5;Daphnia magna;1;malaj;0.6;Pimephales promelas;1;malaj;5;Daphnia magna;1;malaj
32809168;procymidone;NA;NA;566;Pseudokirchneriella subcapitata;3;epa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
330541;Diuron;285;NA;0.7;Pseudokirchneriella subcapitata;56;epa;5700;Daphnia magna;1;malaj;1900;Oncorhynchus clarkii;77;epa;160;Gammarus fasciatus;34;epa
330552;Linuron;390;NA;14.8;Scenedesmus acutus;8;epa;477;Daphnia magna;1;malaj;890;Cyprinodon variegatus;9;epa;270;Daphnia magna;9;epa
33213659;Endosulfan, beta;291;NA;NA;NA;NA;NA;862.5;Daphnia carinata;2;epa;3.3;Oncorhynchus mykiss;4;epa;2.3;Jappa kutera;5;epa
33245395;fluchloralin;NA;NA;NA;NA;NA;NA;560;Daphnia magna;1;ppdb;0.5129;Noemacheilus denisonii;13;epa;5.6;Chironomus plumosus;6;epa
333415;Diazinon;257;NA;742;Chlorella vulgaris;8;epa;1;Daphnia magna;1;ppdb;0.151;Aphanius fasciatus;149;epa;0.07;Chironomus tentans;184;epa
3337711;asulam;NA;3337-71-1;NA;NA;NA;NA;27000;Daphnia magna;3;epa;3.00E+06;Lepomis macrochirus;11;epa;2310;Daphnia magna;6;epa
3347226;Dithianon;895;NA;90;Pseudokirchneriella subcapitata;1;ppdb;260;Daphnia magna;1;ppdb;70;Oncorhynchus mykiss;1;ppdb;260;Daphnia magna;1;ppdb
335104842;tembotrione;NA;NA;310;Pseudokirchneriella subcapitata;2;epa;48900;Daphnia magna;1;epa;1.00E+05;Cyprinodon variegatus;2;epa;100;Americamysis bahia;2;epa
33629479;butralin;NA;33629-47-9;NA;NA;NA;NA;1000;Daphnia magna;1;epa;180;Cyprinodon variegatus;3;epa;70;Americamysis bahia;2;epa
33693048;Terbumeton;1193;NA;26;Pseudokirchneriella subcapitata;2;epa;40000;Daphnia magna;1;malaj;10000;Ameiurus melas;6;epa;40000;Daphnia magna;1;malaj
3380345;5-CHLORO-2-(2,4-DICHLOROPHENOXY)PHENOL;NA;3380-34-5;0.7;Scenedesmus subspicatus;11;epa;265;Ceriodaphnia dubia;13;epa;260;Pimephales promelas;11;epa;74.3;Americamysis bahia;16;epa
34123574;desmethylisoproturon;NA;NA;52;Navicula pelliculosa;1;ppdb;16000;Daphnia magna;1;ppdb;32000;Oncorhynchus mykiss;1;ppdb;16000;Daphnia magna;1;ppdb
34123596;Isoproturon;NA;NA;5;Chlorella pyrenoidosa;42;epa;580;Daphnia magna;1;malaj;NA;NA;NA;NA;580;Daphnia magna;1;malaj
3424826;DDE, o,p';NA;NA;NA;NA;NA;NA;19;Daphnia magna;1;malaj;NA;NA;NA;NA;19;Daphnia magna;1;malaj
34256821;Acetochlor;115;NA;0.27;Pseudokirchneriella subcapitata;1;ppdb;8600;Daphnia magna;1;malaj;360;Oncorhynchus mykiss;1;ppdb;2200;Americamysis bahia;5;epa
348635870;amisulbrom;NA;NA;200;Pseudokirchneriella subcapitata;1;ppdb;37;Daphnia magna;1;ppdb;51.5;Oncorhynchus mykiss;1;ppdb;37;Daphnia magna;1;ppdb
35065271;PCB153 (2,2',4,4',5,5'-hexachlorobiphenyl);NA;NA;NA;NA;NA;NA;1.3;Daphnia magna;1;malaj;1;Pimephales promelas;1;malaj;1.3;Daphnia magna;1;malaj
35065282;PCB138 (2,2',3,4,4',5'-hexachlorobiphenyl);NA;NA;NA;NA;NA;NA;6;Daphnia magna;1;malaj;0.6;Pimephales promelas;1;malaj;6;Daphnia magna;1;malaj
35065293;PCB180 (2,2',3,4,4',5,5'-heptachlorobiphenyl);NA;NA;NA;NA;NA;NA;2;Daphnia magna;1;malaj;0.5;Pimephales promelas;1;malaj;2;Daphnia magna;1;malaj
35367385;Diflubenzuron;686;NA;190;Pseudokirchneriella subcapitata;2;epa;2.6;Daphnia magna;1;ppdb;13;Cyprinodon variegatus;62;epa;0.37;Artemia salina;65;epa
35554440;imazalil;NA;NA;730;Pseudokirchneriella subcapitata;1;epa;3500;Daphnia magna;1;ppdb;1480;Oncorhynchus mykiss;1;ppdb;3500;Daphnia magna;1;ppdb
35693993;PCB52 (2,2',5,5'-tetrachlorobiphenyl);NA;NA;NA;NA;NA;NA;30;Daphnia magna;1;malaj;30;Pimephales promelas;1;malaj;30;Daphnia magna;1;malaj
35694087;PCB194;NA;NA;NA;NA;NA;NA;0.2;Daphnia magna;1;malaj;0.2;Pimephales promelas;1;malaj;0.2;Daphnia magna;1;malaj
361377299;Fluoxastrobin;323;NA;260;Pseudokirchneriella subcapitata;1;epa;480;Daphnia magna;1;ppdb;435;Oncorhynchus mykiss;1;ppdb;51.6;Americamysis bahia;9;epa
36734197;Iprodion;673;NA;1800;Pseudokirchneriella subcapitata;1;ppdb;660;Daphnia magna;1;ppdb;3060;Ictalurus punctatus;7;epa;430;Daphnia magna;8;epa
3691358;chlorophacinone;NA;3691-35-8;NA;NA;NA;NA;426;Daphnia magna;2;epa;252;Oncorhynchus mykiss;4;epa;426;Daphnia magna;2;epa
372137354;Saflufenacil;859;NA;42;Pseudokirchneriella subcapitata;4;epa;98200;Daphnia magna;1;epa;98000;Cyprinodon variegatus;3;epa;8500;Americamysis bahia;2;epa
374726622;Mandipropamid;715;NA;2500;Pseudokirchneriella subcapitata;1;epa;7100;Daphnia magna;1;ppdb;4400;Oncorhynchus mykiss;3;epa;1700;Americamysis bahia;2;epa
37680732;PCB101 (2,2',4,5,5'-pentachlorobiphenyl);NA;NA;NA;NA;NA;NA;10;Daphnia magna;1;malaj;10;Pimephales promelas;1;malaj;10;Daphnia magna;1;malaj
380412599;NA;NA;380412-59-9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
38260547;Etrimfos;306;NA;7300;Scenedesmus subspicatus;1;epa;2.2;Daphnia magna;1;epa;6000;Leuciscus idus;1;epa;1.1;Aedes aegypti;6;epa
38380084;PCB156 (2,3,3',4,4',5-hexachlorobiphenyl);NA;NA;NA;NA;NA;NA;7;Daphnia magna;1;malaj;0.6;Pimephales promelas;1;malaj;7;Daphnia magna;1;malaj
3878191;fuberidazole;NA;NA;1400;Pseudokirchneriella subcapitata;1;ppdb;4700;Daphnia magna;1;ppdb;910;Oncorhynchus mykiss;1;ppdb;4700;Daphnia magna;1;ppdb
39148248;fosetyl-aluminium;NA;39148-24-8;1518.4;Chlorella vulgaris;9;epa;304000;Daphnia magna;1;epa;75800;Oncorhynchus mykiss;5;epa;3600;Palaemonetes pugio;3;epa
39300453;dinocap;NA;39300-45-3;NA;NA;NA;NA;4.2;Daphnia magna;1;epa;19;Oncorhynchus mykiss;9;epa;4.2;Daphnia magna;6;epa
39515407;cyphenothrin;NA;39515-40-7;NA;NA;NA;NA;0.43;Daphnia magna;1;ppdb;0.34;Oncorhynchus mykiss;1;ppdb;0.43;Daphnia magna;1;ppdb
39515418;fenpropathrin;NA;39515-41-8;NA;NA;NA;NA;0.53;Daphnia magna;1;ppdb;2.2;Lepomis macrochirus;10;epa;0.021;Americamysis bahia;5;epa
400852666;Mesosulfuron;824;NA;1610;Scenedesmus acutus;2;epa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
40487421;Pendimethalin;498;NA;4;Pseudokirchneriella subcapitata;1;ppdb;280;Daphnia magna;1;malaj;196;Oncorhynchus mykiss;1;ppdb;147;Daphnia magna;1;ppdb
40843252;diclofop;NA;NA;687;Chlorella pyrenoidosa;1;epa;48000;Daphnia magna;1;ppdb;NA;NA;NA;NA;48000;Daphnia magna;1;ppdb
41318756;PBDE28;NA;NA;NA;NA;NA;NA;248;Daphnia magna;1;malaj;NA;NA;NA;NA;248;Daphnia magna;1;malaj
41394052;Metamitron;406;NA;400;Pseudokirchneriella subcapitata;1;ppdb;97000;Daphnia magna;1;malaj;NA;NA;NA;NA;5700;Daphnia magna;1;ppdb
422556089;Pyroxsulam;864;NA;111;Pseudokirchneriella subcapitata;1;epa;1.00E+05;Daphnia magna;1;epa;94400;Pimephales promelas;2;epa;1.00E+05;Daphnia magna;1;epa
42576023;bifenox;NA;NA;0.18;Scenedesmus subspicatus;1;ppdb;660;Daphnia magna;1;ppdb;180;Oncorhynchus mykiss;6;epa;42;Americamysis bahia;2;epa
42874033;oxyfluorfen;NA;42874-03-3;0.08;Pseudokirchneriella subcapitata;12;epa;80;Daphnia magna;2;epa;170;Cyprinodon variegatus;6;epa;32;Palaemonetes pugio;4;epa
43121433;Triadimefon;749;NA;910;Pseudokirchneriella subcapitata;2;epa;7160;Daphnia magna;1;ppdb;4080;Oncorhynchus mykiss;1;ppdb;7160;Daphnia magna;1;ppdb
465736;Isodrin;NA;NA;74;Pseudokirchneriella subcapitata;1;malaj;69;Daphnia magna;1;malaj;NA;NA;NA;NA;69;Daphnia magna;1;malaj
4658280;Aziprotryn;960;NA;NA;NA;NA;NA;26000;Daphnia magna;1;epa;NA;NA;NA;NA;26000;Daphnia magna;1;epa
470906;Chlorfenvinphos;206;NA;1360;Scenedesmus subspicatus;1;ppdb;0.25;Daphnia magna;1;malaj;23;Lepomis macrochirus;7;epa;0.25;Daphnia magna;1;malaj
4901513;2,3,4,5-tetrachlorophenol;NA;NA;877;Pseudokirchneriella subcapitata;1;malaj;1760;Daphnia magna;1;malaj;410;Pimephales promelas;1;malaj;1760;Daphnia magna;1;malaj
50000;Formaldehyde;NA;NA;4249;Pseudokirchneriella subcapitata;1;malaj;19200;Daphnia magna;1;malaj;24100;Pimephales promelas;1;malaj;19200;Daphnia magna;1;malaj
500008457;Chlorantraniliprole;817;NA;1780;Pseudokirchneriella subcapitata;1;epa;11.6;Daphnia magna;1;ppdb;1640;Lepomis macrochirus;8;epa;11.3;Daphnia magna;12;epa
50293;p,p-DDT;485;NA;NA;NA;NA;NA;5;Daphnia magna;1;malaj;0.4;Menidia menidia;281;epa;0.17;Hyalella azteca;204;epa
50328;Benzo(a)pyrene;NA;NA;15;Pseudokirchneriella subcapitata;1;malaj;1.8;Daphnia magna;1;malaj;6;Pimephales promelas;1;malaj;1.8;Daphnia magna;1;malaj
50471448;Vinclozolin;671;NA;NA;NA;NA;NA;3650;Daphnia magna;1;ppdb;2840;Oncorhynchus mykiss;1;ppdb;1800;Americamysis bahia;6;epa
50563365;dimethachlor;NA;NA;6.5;Pseudokirchneriella subcapitata;1;ppdb;24000;Daphnia magna;1;ppdb;3900;Oncorhynchus mykiss;1;ppdb;24000;Daphnia magna;1;ppdb
50594666;Acifluorfen;678;NA;NA;NA;NA;NA;20027;Daphnia magna;1;epa;83000;Pimephales promelas;1;epa;20027;Daphnia magna;1;epa
51036;piperonyl butoxide;NA;51-03-6;NA;NA;NA;NA;510;Daphnia magna;1;ppdb;2820;Oncorhynchus mykiss;21;epa;490;Americamysis bahia;16;epa
5103719;cis-Chlordan;755;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.09;Lepomis macrochirus;2;epa;NA;NA;NA;NA
5103742;trans-Chlordan;597;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.5;Lepomis macrochirus;2;epa;NA;NA;NA;NA
51218452;Metolachlor;422;NA;38;Pseudokirchneriella subcapitata;1;malaj;15595;Daphnia magna;1;malaj;3900;Oncorhynchus mykiss;1;ppdb;1100;Ceriodaphnia dubia;12;epa
51235042;Hexazinon;362;NA;0.001;Gomphonema sp.;14;epa;85000;Daphnia magna;1;malaj;1.00E+05;Salvelinus fontinalis;28;epa;550;Ceriodaphnia dubia;9;epa
51276472;Glufosinat;348;NA;1023;Chlorella vulgaris;6;epa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51338273;diclofop-methyl;NA;51338-27-3;NA;NA;NA;NA;800;Daphnia magna;4;epa;300;Lepomis macrochirus;18;epa;800;Daphnia magna;4;epa
51596113;Milbemectin;919;NA;NA;NA;NA;NA;10;Daphnia magna;2;epa;4.5;Oncorhynchus mykiss;5;epa;0.27;Americamysis bahia;3;epa
52315078;Cypermetryn;237;NA;112450;Scenedesmus acutus;3;epa;0.21;Daphnia magna;1;ppdb;0.4;Scardinius erythrophthalmus;83;epa;6.00E-04;Daphnia magna;102;epa
5234684;Carboxin;816;NA;2550;Chlorella pyrenoidosa;1;epa;57000;Daphnia magna;2;epa;3400;Oncorhynchus mykiss;9;epa;57000;Daphnia magna;2;epa
52645531;Permethrin;1195;NA;82;Skeletonema costatum;4;epa;0.6;Daphnia magna;1;malaj;1.2;Acipenser brevirostrum;179;epa;0.02;Hyalella azteca;194;epa
526750;2,3-dimethyl-phenol;NA;NA;10215;Pseudokirchneriella subcapitata;1;malaj;22500;Daphnia magna;1;malaj;18457;Pimephales promelas;1;malaj;22500;Daphnia magna;1;malaj
52686;Trichlorfon;608;NA;50000;Isochrysis galbana;6;epa;0.29;Daphnia pulex;12;epa;84;Piaractus mesopotamicus;290;epa;0.01;Daphnia carinata;140;epa
52888809;Prosulfocarb;NA;NA;49;Pseudokirchneriella subcapitata;1;ppdb;510;Daphnia magna;1;ppdb;840;Oncorhynchus mykiss;1;ppdb;510;Daphnia magna;1;ppdb
52918635;Deltamethrin;648;NA;2560;Scenedesmus subspicatus;1;epa;0.56;Daphnia magna;1;ppdb;0.121;Danio rerio;71;epa;0.0037;Americamysis bahia;98;epa
53112280;Pyrimethanil;536;NA;1200;Pseudokirchneriella subcapitata;1;ppdb;2900;Daphnia magna;1;ppdb;2800;Cyprinodon variegatus;4;epa;2900;Daphnia magna;1;ppdb
53190;DDD, o,p;NA;NA;NA;NA;NA;NA;9;Daphnia magna;1;malaj;NA;NA;NA;NA;9;Daphnia magna;1;malaj
534521;4,6-Dinitro-o-Cresol;109;NA;3400;Scenedesmus subspicatus;3;epa;3200;Daphnia magna;1;malaj;66;Oncorhynchus mykiss;10;epa;145;Daphnia pulex;15;epa
541731;1,3-dichlorobenzene;NA;NA;4509;Pseudokirchneriella subcapitata;1;malaj;9733;Daphnia magna;1;malaj;8030;Pimephales promelas;1;malaj;9733;Daphnia magna;1;malaj
542756;1,3-Dichlorpropen;809;NA;1000;Skeletonema costatum;10;epa;3580;Daphnia magna;1;ppdb;870;Cyprinodon variegatus;20;epa;745;Americamysis bahia;19;epa
54406483;empenthrin;NA;54406-48-3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
55179312;bitertanol;NA;55179-31-2;NA;NA;NA;NA;4700;Daphnia magna;2;epa;2100;Lepomis macrochirus;2;epa;4700;Daphnia magna;2;epa
55219653;Triadimenol;600;NA;3200;Scenedesmus subspicatus;1;epa;51000;Daphnia magna;1;ppdb;14000;Oncorhynchus mykiss;5;epa;2500;Daphnia magna;1;epa
55285148;carbosulfan;NA;55285-14-8;NA;NA;NA;NA;NA;NA;NA;NA;122;Poecilia reticulata;4;epa;1.49;Cheumatopsyche brevilineata;1;epa
55335063;Triclopyr;792;NA;NA;NA;NA;NA;132900;Daphnia magna;2;epa;1300;Oncorhynchus kisutch;12;epa;132900;Daphnia magna;3;epa
55389;Fenthion;314;NA;1049;Pseudokirchneriella subcapitata;3;epa;1.39;Simocephalus serrulatus;12;epa;453;Morone saxatilis;56;epa;0.001;Moina sp.;86;epa
55512339;Pyridat;933;NA;NA;NA;NA;NA;490;Daphnia magna;1;ppdb;300;Cyprinodon variegatus;3;epa;490;Daphnia magna;1;ppdb
55814410;Mepronil;736;NA;NA;NA;NA;NA;10000;Daphnia magna;1;epa;10000;Oncorhynchus mykiss;1;epa;10000;Daphnia magna;1;epa
5598130;Chlorpyriphos methyl;1206;NA;NA;NA;NA;NA;0.6;Daphnia magna;1;ppdb;100;Salvelinus fontinalis;13;epa;0.6;Daphnia magna;1;ppdb
56073075;difenacoum;NA;56073-07-5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
56235;Tetrachloromethane;NA;NA;NA;NA;NA;NA;29400;Daphnia magna;1;malaj;43000;Pimephales promelas;1;malaj;29400;Daphnia magna;1;malaj
56382;Parathion-ethyl;487;NA;927;Pseudokirchneriella subcapitata;3;epa;2.5;Daphnia magna;1;malaj;1.96;Aphanius fasciatus;91;epa;0.04;Orconectes nais;155;epa
56507370;NA;NA;56507-37-0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
56553;Benzo(a)anthracene;NA;NA;NA;NA;NA;NA;72;Daphnia magna;1;malaj;NA;NA;NA;NA;72;Daphnia magna;1;malaj
56573854;Tributyltin;NA;NA;3;Pseudokirchneriella subcapitata;1;malaj;4;Daphnia magna;1;malaj;4;Pimephales promelas;1;malaj;4;Daphnia magna;1;malaj
56724;Coumaphos;232;NA;NA;NA;NA;NA;0.146;Simocephalus serrulatus;2;epa;180;Lepomis macrochirus;26;epa;0.074;Gammarus lacustris;8;epa
57018049;tolclofos-methyl;NA;NA;780;Scenedesmus subspicatus;1;ppdb;48000;Daphnia magna;1;ppdb;690;Oncorhynchus mykiss;1;ppdb;48000;Daphnia magna;1;ppdb
57125;Cyanides (as total CN);NA;NA;NA;NA;NA;NA;517;Daphnia magna;1;malaj;155;Pimephales promelas;1;malaj;517;Daphnia magna;1;malaj
57465288;3,3',4,4',5 pentachlorobiphenyl (CB126);NA;NA;NA;NA;NA;NA;10;Daphnia magna;1;malaj;8.9;Pimephales promelas;1;malaj;10;Daphnia magna;1;malaj
57749;Chlordan;203;NA;362;Pseudokirchneriella subcapitata;1;epa;98.4;Daphnia magna;1;malaj;2.9;Cyprinus carpio;25;epa;5.8;Chironomus tentans;15;epa
57837191;Metalaxyl;NA;NA;420;Scenedesmus subspicatus;1;ppdb;3470;Daphnia magna;1;ppdb;960;Oncorhynchus mykiss;1;ppdb;1500;Americamysis bahia;9;epa
57960197;Acequinocyl;871;NA;960;Pseudokirchneriella subcapitata;2;epa;3.9;Daphnia magna;1;ppdb;190;Cyprinodon variegatus;7;epa;0.93;Americamysis bahia;2;ppdb
57966957;Cymoxanil;888;NA;254;Anabaena flos;1;ppdb;27000;Daphnia magna;1;ppdb;30;Oncorhynchus mykiss;5;epa;800;Daphnia magna;4;epa
581809463;Bixafen;880;NA;97;Pseudokirchneriella subcapitata;1;ppdb;1200;Daphnia magna;1;ppdb;95;Oncorhynchus mykiss;1;ppdb;1200;Daphnia magna;1;ppdb
584792;allethrin;NA;584-79-2;NA;NA;NA;NA;38.5;Daphnia pulex;2;epa;3.3;Esox lucius;50;epa;2.1;Pteronarcys californica;14;epa
58810483;ofurace;NA;58810-48-3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
58899;HCH, gamma (Lindan);355;NA;1620;Chlamydomonas reinhardtii;7;epa;1600;Daphnia magna;1;ppdb;0.25;Gobius sp.;166;epa;1;Cypris subglobosa;171;epa
58902;2,3,4,6-tetrachlorophenol;NA;NA;1300;Pseudokirchneriella subcapitata;1;malaj;175;Daphnia magna;1;malaj;1030;Pimephales promelas;1;malaj;175;Daphnia magna;1;malaj
5915413;Terbuthylazin;581;NA;12;Pseudokirchneriella subcapitata;1;malaj;13100;Daphnia magna;1;malaj;1600;Poecilia reticulata;8;epa;109;Americamysis bahia;4;epa
59507;3-methyl-4-chlorophenol;NA;NA;25157;Pseudokirchneriella subcapitata;1;malaj;2000;Daphnia magna;1;malaj;7380;Pimephales promelas;1;malaj;2000;Daphnia magna;1;malaj
59669260;thiodicarb;NA;59669-26-0;455.5;Skeletonema costatum;5;epa;27;Daphnia magna;2;epa;510;Cyprinodon variegatus;10;epa;27;Daphnia magna;9;epa
60004;EDTA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59800;Pimephales promelas;1;malaj;NA;NA;NA;NA
60168889;fenarimol;NA;NA;1480;Unknown species;1;ppdb;6800;Daphnia magna;1;ppdb;3100;Oncorhynchus mykiss;7;epa;3.46;Paratya australiensis;10;epa
60207901;Propiconazol;528;NA;0.8;Chlamydomonas noctigama;14;epa;10200;Daphnia magna;1;malaj;1000;Ictalurus punctatus;22;epa;180;Daphnia magna;22;epa
60397775;NA;NA;60397-77-5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
60515;Dimethoat;279;NA;5500;Chlamydomonas noctigama;17;epa;2000;Daphnia magna;1;malaj;60;Danio rerio;61;epa;1.29;Chironomus dilutus;81;epa
60571;Dieldrin;267;NA;100;Chlorella pyrenoidosa;1;ppdb;250;Daphnia magna;1;malaj;0.9;Anguilla rostrata;131;epa;0.24;Chlamydotheca arcuata;72;epa
608731;HCH gesamt;642;NA;NA;NA;NA;NA;1084;Daphnia magna;1;malaj;9;Oncorhynchus clarkii;30;epa;6.1;Macrobrachium lamarrei;9;epa
608935;Pentachlorobenzene;NA;NA;6600;Pseudokirchneriella subcapitata;1;malaj;1327;Daphnia magna;1;malaj;306;Pimephales promelas;1;malaj;1327;Daphnia magna;1;malaj
61081007;gamma-HCH (Lindane);NA;NA;NA;NA;NA;NA;1600;Daphnia magna;1;malaj;82;Pimephales promelas;1;malaj;1600;Daphnia magna;1;malaj
61213250;flurochloridone;NA;NA;4.7;Scenedesmus subspicatus;1;ppdb;5100;Daphnia magna;1;ppdb;3000;Oncorhynchus mykiss;1;ppdb;5100;Daphnia magna;1;ppdb
61825;amitrole;NA;61-82-5;18000;Pseudokirchneriella subcapitata;2;epa;14750;Daphnia magna;4;epa;1.00E+05;Pimephales promelas;18;epa;2800;Americamysis bahia;14;epa
6190654;Desethylatrazin;247;NA;2000;Pseudokirchneriella subcapitata;1;malaj;76529;Daphnia magna;1;malaj;NA;NA;NA;NA;2800;Gammarus pulex;6;epa
62737;Dichlorvos;264;NA;14;Isochrysis galbana;5;epa;0.19;Daphnia magna;1;malaj;6.411;Misgurnus anguillicaudatus;90;epa;0.066;Daphnia pulex;136;epa
640153;Thiometon;656;NA;8400;Scenedesmus subspicatus;1;epa;74;Daphnia magna;1;epa;640;Cirrhinus mrigala;8;epa;42;Daphnia magna;10;epa
64628440;Triflumuron;698;NA;NA;NA;NA;NA;1.6;Daphnia magna;1;ppdb;NA;NA;NA;NA;0.21;Streptocephalus sudanicus;1;epa
64700567;Triclopyr-2-butoxyethyl;943;NA;NA;NA;NA;NA;970;Ceriodaphnia dubia;5;epa;300;Oncorhynchus keta;32;epa;240;Ceriodaphnia dubia;14;epa
64902723;Chlorsulfuron;968;NA;67;Pseudokirchneriella subcapitata;16;epa;370000;Daphnia magna;1;epa;38000;Salmo trutta;7;epa;89000;Americamysis bahia;2;epa
65731842;beta-cypermethrin;NA;NA;NA;NA;NA;NA;0.42;Daphnia magna;1;ppdb;0.39;Oncorhynchus mykiss;1;ppdb;0.0059;Americamysis bahia;2;ppdb
658066354;Fluopyram;NA;NA;1130;Skeletonema costatum;5;epa;17000;Daphnia magna;2;epa;980;Cyprinodon variegatus;6;epa;510;Americamysis bahia;3;epa
66063056;Pencycuron;497;NA;NA;NA;NA;NA;10000;Daphnia magna;1;epa;500;Oncorhynchus mykiss;2;epa;10000;Daphnia magna;1;epa
66215278;cyromazine;NA;NA;NA;NA;NA;NA;10700;Daphnia magna;3;epa;87900;Oncorhynchus mykiss;3;epa;10700;Daphnia magna;5;epa
66230044;esfenvalerate;NA;NA;6.5;Pseudokirchneriella subcapitata;1;ppdb;0.27;Daphnia magna;1;ppdb;0.07;Oncorhynchus mykiss;25;epa;0.01;Alona sp.;66;epa
66246886;penconazole;NA;NA;4900;Pseudokirchneriella subcapitata;1;ppdb;6750;Daphnia magna;1;ppdb;1130;Oncorhynchus mykiss;1;ppdb;6750;Daphnia magna;1;ppdb
66332965;Flutolanil;839;NA;NA;NA;NA;NA;6800;Daphnia magna;2;epa;4800;Pimephales promelas;8;epa;130;Americamysis bahia;13;epa
66753079;NA;NA;66753-07-9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
67129082;Metazachlor;407;NA;16;Pseudokirchneriella subcapitata;1;malaj;33000;Daphnia magna;1;malaj;8500;Oncorhynchus mykiss;1;ppdb;33000;Daphnia magna;1;malaj
67306007;Fenpropidin;312;NA;5.7;Scenedesmus subspicatus;1;ppdb;540;Daphnia magna;1;ppdb;1900;Lepomis macrochirus;1;ppdb;540;Daphnia magna;1;ppdb
67375308;alpha-Cypermethrin;872;NA;84;Pseudokirchneriella subcapitata;1;ppdb;0.22;Daphnia magna;1;ppdb;0.17;Danio rerio;22;epa;0.013;Chironomus riparius;2;ppdb
67481;choline chloride;NA;67-48-1;NA;NA;NA;NA;320000;Daphnia magna;1;epa;NA;NA;NA;NA;320000;Daphnia magna;3;epa
67564914;Fenpropimorph;NA;NA;327;Pseudokirchneriella subcapitata;1;malaj;2240;Daphnia magna;1;malaj;2110;Lepomis macrochirus;2;epa;2240;Daphnia magna;1;malaj
676228914;NA;NA;676228-91-4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
67663;Trichloromethane;NA;NA;NA;NA;NA;NA;228967;Daphnia magna;1;malaj;70700;Pimephales promelas;1;malaj;228967;Daphnia magna;1;malaj
