casnr;subst_name;variable_id;cas;ec50f_al4896_fin;ec50f_al4896_tax;ec50f_al4896_n;ec50f_al4896_src;ec50f_da48_fin;ec50f_da48_tax;ec50f_da48_n;ec50f_da48_src;ec50f_fi96_fin;ec50f_fi96_tax;ec50f_fi96_n;ec50f_fi96_src;ec50f_ma4896_fin;ec50f_ma4896_tax;ec50f_ma4896_n;ec50f_ma4896_src
67747095;Prochloraz;523;NA;NA;NA;NA;NA;4300;Daphnia magna;1;ppdb;1500;Oncorhynchus mykiss;1;ppdb;770;Americamysis bahia;2;ppdb
68359375;Cyfluthrin (Summe Isomere);650;NA;2366.3;Scenedesmus quadricauda;7;epa;0.16;Daphnia magna;1;ppdb;0.209;Oncorhynchus mykiss;17;epa;0.0013;Hyalella azteca;61;epa
69377817;Fluroxypyr;326;NA;3044;Chlorella pyrenoidosa;7;epa;1.00E+05;Daphnia magna;1;epa;14300;Lepomis macrochirus;4;epa;1.00E+05;Daphnia magna;2;epa
69782907;2,3,3',4,4',5'-hexachlorobiphenyl (CB157);NA;NA;NA;NA;NA;NA;7;Daphnia magna;1;malaj;0.6;Pimephales promelas;1;malaj;7;Daphnia magna;1;malaj
69806344;Haloxyfop;350;NA;106000;Scenedesmus subspicatus;1;epa;NA;NA;NA;NA;383000;Menidia menidia;4;epa;NA;NA;NA;NA
69806402;haloxyfop-methyl;NA;69806-40-2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
69806504;Fluazifop-butyl;768;NA;NA;NA;NA;NA;281200;Daphnia magna;7;epa;370;Pimephales promelas;8;epa;216;Americamysis bahia;8;epa
7012375;PCB28 (2,4,4'-trichlorobiphenyl);NA;NA;120;Pseudokirchneriella subcapitata;1;malaj;160;Daphnia magna;1;malaj;74;Pimephales promelas;1;malaj;160;Daphnia magna;1;malaj
70304;Hexachlorophen;866;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;Pimephales promelas;4;epa;NA;NA;NA;NA
70630170;metalaxyl-M;NA;NA;NA;NA;NA;NA;28000;Daphnia magna;1;malaj;121000;Oncorhynchus mykiss;2;epa;28000;Daphnia magna;1;malaj
709988;Propanil;526;NA;12;Pseudokirchneriella subcapitata;15;epa;2390;Daphnia magna;1;ppdb;1800;Danio rerio;19;epa;400;Americamysis bahia;43;epa
71283802;Fenoxaprop-p-ethyl;898;NA;730;Anabaena flosaquae;3;epa;NA;NA;NA;NA;460;Oncorhynchus mykiss;3;epa;110;Americamysis bahia;1;epa
71432;Benzene;NA;NA;35000;Pseudokirchneriella subcapitata;1;malaj;31277;Daphnia magna;1;malaj;24600;Pimephales promelas;1;malaj;31277;Daphnia magna;1;malaj
71556;1,1,1-trichloroethane;NA;NA;NA;NA;NA;NA;11200;Daphnia magna;1;malaj;52900;Pimephales promelas;1;malaj;11200;Daphnia magna;1;malaj
71626114;benalaxyl;NA;NA;2400;Pseudokirchneriella subcapitata;1;ppdb;590;Daphnia magna;1;ppdb;3750;Unknown species;1;ppdb;590;Daphnia magna;1;ppdb
71751412;Avermectin B1a;144;NA;4400;Scenedesmus subspicatus;3;epa;1.2;Daphnia magna;6;epa;3.6;Oncorhynchus mykiss;11;epa;0.022;Americamysis bahia;12;epa
72178020;fomesafen;NA;72178-02-0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
72208;Endrin;292;NA;NA;NA;NA;NA;117;Daphnia magna;1;malaj;0.05;Menidia menidia;157;epa;8.80E-06;Daphnia pulex;161;epa
72435;Methoxychlor;415;NA;NA;NA;NA;NA;50;Daphnia magna;1;malaj;3.3;Morone saxatilis;190;epa;0.44;Palaemon macrodactylus;87;epa
72459586;triazoxide;NA;NA;39;Pseudokirchneriella subcapitata;1;ppdb;7200;Daphnia magna;1;ppdb;77;Lepomis macrochirus;1;ppdb;7200;Daphnia magna;1;ppdb
72548;p,p-DDD (p,p TDE);483;NA;NA;NA;NA;NA;9;Daphnia magna;1;malaj;2.5;Morone saxatilis;11;epa;0.2;Chironomus dilutus;22;epa
72559;p,p-DDE;484;NA;NA;NA;NA;NA;13;Daphnia magna;1;malaj;32;Oncorhynchus mykiss;3;epa;2.5;Nitocra spinipes;5;epa
7287196;Prometryn;524;NA;1.65;Scenedesmus acutus;10;epa;12660;Daphnia magna;1;malaj;2300;Danio rerio;9;epa;1700;Americamysis bahia;6;epa
72963725;imiprothrin;NA;72963-72-5;3100;Pseudokirchneriella subcapitata;1;ppdb;51;Daphnia magna;1;ppdb;38;Oncorhynchus mykiss;1;ppdb;51;Daphnia magna;1;ppdb
731271;tolylfluanid;NA;NA;NA;NA;NA;NA;190;Daphnia magna;1;ppdb;30;Oncorhynchus mykiss;1;epa;190;Daphnia magna;1;ppdb
732263;2,4,6-tri-tert-butylphenol;NA;NA;NA;NA;NA;NA;110;Daphnia magna;1;malaj;61;Pimephales promelas;1;malaj;110;Daphnia magna;1;malaj
7374530;NA;NA;7374-53-0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
74070465;aclonifen;NA;NA;470;Navicula pelliculosa;1;ppdb;1200;Daphnia magna;1;ppdb;670;Oncorhynchus mykiss;1;ppdb;1200;Daphnia magna;1;ppdb
74115245;Clofentezin;886;NA;60;Scenedesmus pannonicus;2;epa;40.575;Daphnia magna;4;epa;14.6;Oncorhynchus mykiss;3;epa;40.575;Daphnia magna;4;epa
74223646;Metsulfuron-methyl;918;NA;190;Pseudokirchneriella subcapitata;11;epa;75100;Ceriodaphnia dubia;2;epa;200;Pimephales promelas;4;epa;200;Ceriodaphnia dubia;2;epa
74233646;Metsulfuronmethyl;NA;NA;395;Pseudokirchneriella subcapitata;1;malaj;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
75070;ACETALDEHYDE;NA;75-07-0;3359;Pseudokirchneriella subcapitata;5;epa;48250;Daphnia magna;1;epa;33800;Pimephales promelas;6;epa;19300;Gammarus pseudolimnaeus;5;epa
75092;Dichloromethane;NA;NA;NA;NA;NA;NA;220000;Daphnia magna;1;malaj;330000;Pimephales promelas;1;malaj;220000;Daphnia magna;1;malaj
75343;1,1-dichloroethane;NA;NA;NA;NA;NA;NA;92185;Daphnia magna;1;malaj;NA;NA;NA;NA;92185;Daphnia magna;1;malaj
75354;1,1-dichloroethene;NA;NA;NA;NA;NA;NA;51000;Daphnia magna;1;malaj;135060;Pimephales promelas;1;malaj;51000;Daphnia magna;1;malaj
75990;Dalapon;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;290000;Pimephales promelas;1;malaj;NA;NA;NA;NA
76448;Heptachlor;356;NA;27;Pseudokirchneriella subcapitata;1;malaj;42;Daphnia magna;1;malaj;0.85;Leiostomus xanthurus;53;epa;0.5;Orconectes nais;39;epa
76578126;Quizalofop;677;NA;29170;Chlorella vulgaris;2;epa;57700;Daphnia magna;1;ppdb;NA;NA;NA;NA;57700;Daphnia magna;1;ppdb
76578148;quizalofop-ethyl;NA;NA;3569.1;Scenedesmus acutus;3;epa;2100;Daphnia magna;1;ppdb;460;Lepomis macrochirus;6;epa;150;Americamysis bahia;5;epa
76674210;Flutriafol;329;NA;460;Skeletonema costatum;4;epa;67000;Daphnia magna;1;ppdb;7800;Oncorhynchus mykiss;5;epa;7050;Daphnia magna;3;epa
76703623;gamma-Cyhalothrin;905;NA;2850;Pseudokirchneriella subcapitata;1;ppdb;0.045;Daphnia magna;1;ppdb;0.0286;Lepomis macrochirus;15;epa;0.00135;Hyalella azteca;46;epa
76738620;paclobutrazol;NA;76738-62-0;41500;Pseudokirchneriella subcapitata;2;epa;28700;Daphnia magna;6;epa;20550;Danio rerio;3;epa;12800;Cipangopaludina chinensis;14;epa
7696120;Tetramethrin;NA;NA;NA;NA;NA;NA;45;Daphnia magna;1;ppdb;3.7;Oncorhynchus mykiss;6;epa;45;Daphnia magna;1;ppdb
77474;Hexachlorocyclopentadiene (HCCP);NA;NA;190;Pseudokirchneriella subcapitata;1;malaj;46;Daphnia magna;1;malaj;74;Pimephales promelas;1;malaj;46;Daphnia magna;1;malaj
77732093;Oxadixyl;478;NA;8831;Pseudokirchneriella subcapitata;1;epa;530000;Daphnia magna;1;epa;320000;Oncorhynchus mykiss;1;epa;530000;Daphnia magna;1;epa
7786347;Mevinphos;429;NA;NA;NA;NA;NA;0.16;Daphnia pulex;1;ppdb;11.9;Oncorhynchus mykiss;18;epa;0.16;Daphnia pulex;1;ppdb
78587050;Hexythiazox;713;NA;NA;NA;NA;NA;742;Daphnia carinata;1;epa;240;Cyprinodon variegatus;5;epa;110;Americamysis bahia;2;epa
789026;o,p-DDT;472;NA;NA;NA;NA;NA;5;Daphnia magna;1;malaj;85;Pimephales promelas;1;malaj;5;Daphnia magna;1;malaj
79005;1,1,2-trichloroethane;NA;NA;144600;Pseudokirchneriella subcapitata;1;malaj;107333;Daphnia magna;1;malaj;81600;Pimephales promelas;1;malaj;107333;Daphnia magna;1;malaj
79016;1,1,2-trichloroethene;NA;NA;NA;NA;NA;NA;59000;Daphnia magna;1;malaj;44100;Pimephales promelas;1;malaj;59000;Daphnia magna;1;malaj
79241466;Fluazifop-P-butyl;316;NA;1800;Pseudokirchneriella subcapitata;1;epa;545600;Daphnia magna;3;epa;NA;NA;NA;NA;510;Americamysis bahia;4;epa
79277273;Thifensulfuron-methyl;590;NA;NA;NA;NA;NA;60700;Daphnia magna;1;ppdb;1.00E+05;Lepomis macrochirus;3;epa;60700;Daphnia magna;1;ppdb
79510488;metsulfuron;NA;NA;NA;NA;NA;NA;150000;Daphnia magna;1;ppdb;NA;NA;NA;NA;150000;Daphnia magna;1;ppdb
79538322;Tefluthrin;637;NA;NA;NA;NA;NA;0.07;Daphnia magna;1;ppdb;0.06;Oncorhynchus mykiss;1;ppdb;0.053;Americamysis bahia;47;epa
79622596;Fluazinam;699;NA;20;Chlorella pyrenoidosa;19;epa;220;Daphnia magna;1;ppdb;36;Oncorhynchus mykiss;5;epa;4.6;Acanthocyclops venustus;27;epa
79983714;Hexaconazol;712;NA;866;Scenedesmus quadricauda;7;epa;3750;Daphnia magna;6;epa;3800;Oncorhynchus mykiss;4;epa;2000;Americamysis bahia;7;epa
8001352;Toxaphene;NA;NA;NA;NA;NA;NA;14.1;Daphnia magna;1;malaj;12;Pimephales promelas;1;malaj;14.1;Daphnia magna;1;malaj
8003347;Pyrethrum;1220;NA;NA;NA;NA;NA;25;Daphnia magna;11;epa;14.6;Micropterus dolomieu;55;epa;1;Pteronarcys californica;28;epa
80057;Bisphenol A;NA;NA;2900;Pseudokirchneriella subcapitata;1;malaj;10313;Daphnia magna;1;malaj;4650;Pimephales promelas;1;malaj;10313;Daphnia magna;1;malaj
8018017;Mancozeb;910;NA;44;Pseudokirchneriella subcapitata;1;ppdb;73;Daphnia magna;1;ppdb;74;Oncorhynchus mykiss;1;ppdb;9.5;Americamysis bahia;6;epa
8065483;Demeton (O+S);242;NA;NA;NA;NA;NA;10.4;Daphnia pulex;1;ppdb;47;Salvelinus fontinalis;29;epa;10.4;Daphnia pulex;1;ppdb
80844071;Ethofenprox;299;NA;18.8;Pseudokirchneriella subcapitata;2;epa;1.2;Daphnia magna;1;ppdb;2.36;Lepomis macrochirus;9;epa;0.0188;Americamysis bahia;11;epa
81335377;imazaquin;NA;NA;NA;NA;NA;NA;280000;Daphnia magna;1;epa;280000;Oncorhynchus mykiss;3;epa;280000;Daphnia magna;1;epa
81335775;Imazethapyr;856;NA;21500;Anabaena flosaquae;5;epa;1.00E+06;Daphnia magna;1;ppdb;110000;Lepomis macrochirus;6;epa;110000;Daphnia magna;3;epa
81405858;imazamethabenz-methyl;NA;81405-85-8;89100;Pseudokirchneriella subcapitata;2;epa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
81406373;Fluroxypyr-methylheptyl;903;NA;1410;Pseudokirchneriella subcapitata;1;epa;NA;NA;NA;NA;87;Cyprinodon variegatus;21;epa;135;Palaemonetes pugio;1;epa
81777891;Clomazon;226;NA;136;Navicula pelliculosa;1;ppdb;12700;Daphnia magna;1;ppdb;7.32;Rhamdia quelen;5;epa;566;Americamysis bahia;2;epa
82097505;Triasulfuron;691;NA;405;Pseudokirchneriella subcapitata;2;epa;1.00E+05;Daphnia magna;1;epa;1.00E+05;Lepomis macrochirus;3;epa;21500;Americamysis bahia;2;epa
82110723;NA;NA;82110-72-3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
82558507;Isoxaben;379;NA;NA;NA;NA;NA;1300;Daphnia magna;1;epa;870;Cyprinodon variegatus;4;epa;1000;Palaemonetes pugio;2;epa
82560541;benfuracarb;NA;82560-54-1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.66;Cheumatopsyche brevilineata;1;epa
82657043;Bifenthrin;167;NA;822;Scenedesmus subspicatus;1;ppdb;0.11;Daphnia magna;1;ppdb;0.15;Oncorhynchus mykiss;7;epa;0.0012;Americamysis bahia;2;ppdb
82688;Quintozen;660;NA;NA;NA;NA;NA;770;Daphnia magna;1;malaj;100;Lepomis macrochirus;1;ppdb;12;Americamysis bahia;3;epa
83055996;Bensulfuron-methyl;152;NA;11.8;Pseudokirchneriella subcapitata;8;epa;199500;Daphnia magna;3;epa;63000;Lepomis macrochirus;8;epa;71000;Procambarus clarkii;5;epa
83066880;Fluazifop-P;900;NA;1048.8;Pseudokirchneriella subcapitata;6;epa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
83121180;Teflubenzuron;747;NA;NA;NA;NA;NA;2.8;Daphnia magna;1;ppdb;NA;NA;NA;NA;0.59;Streptocephalus sudanicus;2;epa
83164334;diflufenican;NA;NA;1.2;Pseudokirchneriella subcapitata;1;epa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
83329;Acenaphthene;NA;NA;520;Pseudokirchneriella subcapitata;1;malaj;2350;Daphnia magna;1;malaj;1730;Pimephales promelas;1;malaj;2350;Daphnia magna;1;malaj
834128;Ametryn;125;NA;0.3;Chlorella pyrenoidosa;17;epa;28000;Daphnia magna;1;malaj;3400;Oncorhynchus mykiss;21;epa;2300;Americamysis bahia;14;epa
83657243;Diniconazol;707;NA;NA;NA;NA;NA;7400;Daphnia magna;1;ppdb;NA;NA;NA;NA;7400;Daphnia magna;1;ppdb
841065;Methoprotryn;1024;NA;NA;NA;NA;NA;42000;Daphnia magna;1;ppdb;8000;Oncorhynchus mykiss;1;ppdb;42000;Daphnia magna;1;ppdb
84651;anthraquinone;NA;84-65-1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;94.2;Americamysis bahia;2;epa
84662;Di-ethyl phthalate;NA;NA;48603;Pseudokirchneriella subcapitata;1;malaj;54235;Daphnia magna;1;malaj;21867;Pimephales promelas;1;malaj;54235;Daphnia magna;1;malaj
84742;Di-(n-butyl) phthalate;NA;NA;400;Pseudokirchneriella subcapitata;1;malaj;3700;Daphnia magna;1;malaj;1610;Pimephales promelas;1;malaj;3700;Daphnia magna;1;malaj
84852153;4-Nonylphenol, branched;NA;NA;410;Pseudokirchneriella subcapitata;1;malaj;137;Daphnia magna;1;malaj;138;Pimephales promelas;1;malaj;137;Daphnia magna;1;malaj
85007;diquat dibromide;NA;85-00-7;21.8;Pseudokirchneriella subcapitata;5;epa;735;Daphnia pulex;7;epa;1800;Sander vitreus;68;epa;48;Hyalella azteca;27;epa
85018;Phenanthrene;NA;NA;411;Pseudokirchneriella subcapitata;1;malaj;598;Daphnia magna;1;malaj;1015.5;Pimephales promelas;1;malaj;598;Daphnia magna;1;malaj
85223;Pentabromoethylbenzene;NA;NA;NA;NA;NA;NA;2;Daphnia magna;1;malaj;NA;NA;NA;NA;2;Daphnia magna;1;malaj
85347;Chlorfenac;1229;NA;NA;NA;NA;NA;5550;Daphnia pulex;2;epa;11000;Oncorhynchus mykiss;4;epa;4500;Daphnia pulex;7;epa
85509199;flusilazole;NA;NA;6400;Pseudokirchneriella subcapitata;1;ppdb;3400;Daphnia magna;1;ppdb;1200;Oncorhynchus mykiss;1;ppdb;3400;Daphnia magna;1;ppdb
85687;Butyl benzyl phthalate (BBP);NA;NA;120;Pseudokirchneriella subcapitata;1;malaj;2000;Daphnia magna;1;malaj;1533;Pimephales promelas;1;malaj;2000;Daphnia magna;1;malaj
86209510;Primisulfuron-methyl;1000;NA;98.7;Anabaena flosaquae;3;epa;1.00E+05;Daphnia magna;2;epa;13000;Oncorhynchus mykiss;6;epa;16000;Americamysis bahia;4;epa
86479063;Hexaflumuron;722;NA;NA;NA;NA;NA;0.1;Daphnia magna;1;ppdb;255.6;Lepomis macrochirus;2;epa;0.1;Daphnia magna;1;ppdb
86500;Azinphos-methyl;146;NA;NA;NA;NA;NA;1.1;Daphnia magna;1;ppdb;0.36;Esox lucius;188;epa;0.126;Gammarus lacustris;100;epa
86737;Fluorene;NA;NA;3400;Pseudokirchneriella subcapitata;1;malaj;430;Daphnia magna;1;malaj;NA;NA;NA;NA;430;Daphnia magna;1;malaj
87392129;S-Metolachlor;936;NA;8;Pseudokirchneriella subcapitata;1;ppdb;26000;Daphnia magna;1;ppdb;1230;Oncorhynchus mykiss;1;ppdb;1400;Americamysis bahia;2;ppdb
87616;1,2,3-trichlorobenzene;NA;NA;900;Pseudokirchneriella subcapitata;1;malaj;1850;Daphnia magna;1;malaj;2987;Pimephales promelas;1;malaj;1850;Daphnia magna;1;malaj
87650;2,6-dichlorophenol;NA;NA;29000;Pseudokirchneriella subcapitata;1;malaj;3400;Daphnia magna;1;malaj;7748;Pimephales promelas;1;malaj;3400;Daphnia magna;1;malaj
87674688;Dimethenamid;277;NA;62;Scenedesmus subspicatus;1;epa;16000;Daphnia magna;1;ppdb;2600;Oncorhynchus mykiss;1;ppdb;4800;Americamysis bahia;2;epa
87683;Hexachlorobutadiene (HCBD);NA;NA;NA;NA;NA;NA;500;Daphnia magna;1;malaj;90;Pimephales promelas;1;malaj;500;Daphnia magna;1;malaj
87820880;Tralkoxydim;858;NA;5100;Pseudokirchneriella subcapitata;1;epa;1970;Daphnia magna;2;epa;44000;Pimephales promelas;1;epa;1970;Daphnia magna;2;epa
87865;Pentachlorophenol;NA;NA;347;Pseudokirchneriella subcapitata;1;malaj;450;Daphnia magna;1;malaj;245;Pimephales promelas;1;malaj;450;Daphnia magna;1;malaj
88062;2,4,6-Trichlorphenol;72;NA;801;Pseudokirchneriella subcapitata;6;epa;1710;Daphnia magna;1;malaj;320;Lepomis macrochirus;17;epa;1210;Palaemonetes pugio;23;epa
881685581;Isopyrazam;862;NA;2200;Pseudokirchneriella subcapitata;1;ppdb;44;Daphnia magna;1;ppdb;25.8;Cyprinus carpio;1;ppdb;44;Daphnia magna;1;ppdb
886500;Terbutryn;580;NA;2;Pseudokirchneriella subcapitata;30;epa;7100;Daphnia magna;1;malaj;1500;Cyprinodon variegatus;17;epa;740;Americamysis bahia;6;epa
88671890;Myclobutanil;727;NA;2660;Scenedesmus subspicatus;1;ppdb;17000;Daphnia magna;1;ppdb;2000;Oncorhynchus mykiss;1;ppdb;240;Americamysis bahia;2;ppdb
88857;Dinoseb;675;NA;20496;Pseudokirchneriella subcapitata;1;malaj;240;Daphnia magna;1;malaj;44;Oncorhynchus mykiss;1;ppdb;130;Semisulcospira libertina;11;epa
9006422;Metiram;917;NA;15;Navicula pelliculosa;5;epa;770;Daphnia magna;1;ppdb;229;Oncorhynchus mykiss;5;epa;25.16;Americamysis bahia;4;epa
90120;1-methylnaphthalene;NA;NA;12000;Pseudokirchneriella subcapitata;1;malaj;1422;Daphnia magna;1;malaj;9000;Pimephales promelas;1;malaj;1422;Daphnia magna;1;malaj
907204313;fluxapyroxad;NA;NA;700;Pseudokirchneriella subcapitata;1;ppdb;6780;Daphnia magna;1;ppdb;546;Oncorhynchus mykiss;1;ppdb;6780;Daphnia magna;1;ppdb
91203;Naphthalene;NA;NA;25000;Pseudokirchneriella subcapitata;1;malaj;15000;Daphnia magna;1;malaj;6140;Pimephales promelas;1;malaj;15000;Daphnia magna;1;malaj
91465086;Cyhalothrin;649;NA;310;Pseudokirchneriella subcapitata;1;epa;0.36;Daphnia magna;1;ppdb;0.078;Leuciscus idus;33;epa;0.0028;Chaoborus obscuripes;87;epa
91576;2-methylnaphthalene;NA;NA;NA;NA;NA;NA;1670;Daphnia magna;1;malaj;8992.9;Pimephales promelas;1;malaj;1670;Daphnia magna;1;malaj
919868;Demeton-S-methyl;245;NA;NA;NA;NA;NA;23;Daphnia magna;1;malaj;NA;NA;NA;NA;23;Daphnia magna;1;malaj
92524;biphenyl;NA;92-52-4;NA;NA;NA;NA;1457.5;Daphnia magna;7;epa;1500;Oncorhynchus mykiss;15;epa;1315;Daphnia magna;7;epa
93652;Mecoprop;401;NA;102660;Scenedesmus subspicatus;1;epa;10000;Daphnia magna;1;epa;10000;Oncorhynchus mykiss;1;epa;10000;Daphnia magna;1;epa
93721;Fenoprop;311;NA;218197;Pseudokirchneriella subcapitata;1;malaj;140000;Daphnia magna;1;ppdb;350;Gambusia affinis;21;epa;340;Pteronarcys californica;9;epa
93765;2,4,5-T;70;NA;28042;Pseudokirchneriella subcapitata;1;malaj;5000;Daphnia magna;1;malaj;1300;Oncorhynchus mykiss;1;ppdb;5000;Daphnia magna;1;malaj
94051088;Quizalofop-P;934;NA;262.4;Pseudokirchneriella subcapitata;7;epa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
94125345;Prosulfuron;928;NA;NA;NA;NA;NA;120000;Daphnia magna;1;epa;155000;Cyprinodon variegatus;4;epa;120000;Daphnia magna;1;epa
94361065;Cyproconazol;NA;NA;NA;NA;NA;NA;26000;Daphnia magna;1;epa;19000;Oncorhynchus mykiss;3;epa;9600;Americamysis bahia;2;epa
94746;MCPA;399;NA;0.3;Gomphonema sp.;21;epa;190000;Daphnia magna;1;malaj;1920;Cyprinodon variegatus;8;epa;1000;Americamysis bahia;3;epa
94757;2,4-D;63;NA;55;Gomphonema sp.;10;epa;148281;Daphnia magna;1;malaj;242.22;Aphanius fasciatus;99;epa;1850;Spicodiaptomus chelospinus;28;epa
94815;MCPB;NA;NA;41000;Pseudokirchneriella subcapitata;1;malaj;55000;Daphnia magna;1;malaj;3300;Lepomis macrochirus;2;epa;55000;Daphnia magna;1;malaj
94826;2,4-DB;64;NA;33636;Pseudokirchneriella subcapitata;1;malaj;25000;Daphnia magna;1;malaj;3500;Oncorhynchus mykiss;1;ppdb;15000;Pteronarcys californica;3;epa
950378;Methidathion;695;NA;7503.8;Pseudokirchneriella subcapitata;7;epa;6.4;Daphnia magna;1;ppdb;9;Lepomis macrochirus;16;epa;0.7;Americamysis bahia;16;epa
95266403;Trinexapac-ethyl;944;NA;14000;Pseudokirchneriella subcapitata;1;epa;NA;NA;NA;NA;35000;Ictalurus punctatus;5;epa;6500;Americamysis bahia;1;epa
95476;O-Xylene;NA;NA;4450;Pseudokirchneriella subcapitata;1;malaj;17500;Daphnia magna;1;malaj;16400;Pimephales promelas;1;malaj;17500;Daphnia magna;1;malaj
95487;2-methyl-phenol;NA;NA;65000;Pseudokirchneriella subcapitata;1;malaj;14689;Daphnia magna;1;malaj;14000;Pimephales promelas;1;malaj;14689;Daphnia magna;1;malaj
95501;1,2-dichlorobenzene;NA;NA;49800;Pseudokirchneriella subcapitata;1;malaj;2300;Daphnia magna;1;malaj;9470;Pimephales promelas;1;malaj;2300;Daphnia magna;1;malaj
95617097;Fenoxaprop;644;NA;890.8;Pseudokirchneriella subcapitata;9;epa;1260;Daphnia magna;1;ppdb;72200;Oncorhynchus mykiss;1;ppdb;1260;Daphnia magna;1;ppdb
95874;2,5-dimethylphenol;NA;NA;7053;Pseudokirchneriella subcapitata;1;malaj;6750;Daphnia magna;1;malaj;18457;Pimephales promelas;1;malaj;6750;Daphnia magna;1;malaj
95954;2,4,5-trichlorophenol;NA;NA;1200;Pseudokirchneriella subcapitata;1;malaj;900;Daphnia magna;1;malaj;902;Pimephales promelas;1;malaj;900;Daphnia magna;1;malaj
95977290;Haloxyfop-P;906;NA;1075.6;Pseudokirchneriella subcapitata;6;epa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
959988;Alpha-Endosulfan;NA;NA;NA;NA;NA;NA;440;Daphnia magna;1;malaj;0.16;Channa punctata;5;epa;0.7;Jappa kutera;9;epa
962583;NA;NA;962-58-3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96457;Ethylenethiourea (ETU);NA;NA;93800;Pseudokirchneriella subcapitata;1;malaj;21600;Daphnia magna;1;malaj;NA;NA;NA;NA;21600;Daphnia magna;1;malaj
96489713;Pyridaben;1221;NA;17;Pseudokirchneriella subcapitata;1;ppdb;1;Daphnia magna;1;ppdb;0.7;Oncorhynchus mykiss;1;ppdb;1;Daphnia magna;1;ppdb
96525234;flurtamone;NA;NA;20;Pseudokirchneriella subcapitata;1;ppdb;13000;Daphnia magna;1;ppdb;7000;Oncorhynchus mykiss;1;ppdb;13000;Daphnia magna;1;ppdb
97234;dichlorophen;NA;97-23-4;NA;NA;NA;NA;NA;NA;NA;NA;310;Pimephales promelas;2;epa;50;Spicodiaptomus chelospinus;2;epa
98168;3-Trifluormethylanilin;1165;NA;NA;NA;NA;NA;2700;Daphnia magna;1;epa;NA;NA;NA;NA;2700;Daphnia magna;1;epa
99129212;Clethodim;851;NA;22867.6;Pseudokirchneriella subcapitata;5;epa;20200;Daphnia magna;1;epa;19000;Oncorhynchus mykiss;7;epa;20200;Daphnia magna;4;epa
99387890;triflumizole;NA;NA;1660;Scenedesmus subspicatus;1;ppdb;2110;Daphnia magna;1;ppdb;570;Oncorhynchus mykiss;1;ppdb;2110;Daphnia magna;1;ppdb
99607702;cloquintocet-mexyl;NA;99607-70-2;NA;NA;NA;NA;820;Daphnia magna;2;epa;970;Oncorhynchus mykiss;3;epa;820;Daphnia magna;2;epa
999815;chlormequat chloride;NA;999-81-5;207000;Anabaena flosaquae;2;epa;16700;Daphnia magna;1;epa;1.00E+05;Ictalurus punctatus;7;epa;16700;Daphnia magna;2;epa
