"site","date","flow1_sdb","flow2_sdb","sampling"
"A",2016-05-11,0.59,0.39,"Sampling_1"
"A",2016-05-17,0.56,0.3,"Sampling_1"
"A",2016-05-22,0.23,0.53,"Sampling_2"
"A",2016-05-27,0.36,0.51,"Sampling_2"
"A",2016-06-02,0.49,0.2,"Sampling_3"
"A",2016-06-08,0.27,0.16,"Sampling_3"
"A",2016-06-16,0.44,0.57,"Sampling_4"
"A",2016-06-21,0.26,0.58,"Sampling_4"
"B",2016-05-11,0.36,0.5,"Sampling_1"
"B",2016-05-17,0.36,0.65,"Sampling_1"
"B",2016-05-22,0.29,0.46,"Sampling_2"
"B",2016-05-27,NA,0.89,"Sampling_2"
"B",2016-06-02,0.66,0.62,"Sampling_3"
"B",2016-06-08,0.65,0.57,"Sampling_3"
"B",2016-06-16,0.83,0.85,"Sampling_4"
"B",2016-06-21,1.12,1.16,"Sampling_4"
"C",2016-05-11,0.25,0.17,"Sampling_1"
"C",2016-05-17,0.26,0.016,"Sampling_1"
"C",2016-05-22,0.25,0.26,"Sampling_2"
"C",2016-05-27,0.27,0.16,"Sampling_2"
"C",2016-06-02,0.3,0.26,"Sampling_3"
"C",2016-06-08,0.13,0.09,"Sampling_3"
"C",2016-06-15,0.19,0.24,"Sampling_4"
"C",2016-06-20,0.19,0.08,"Sampling_4"
"D",2016-05-11,0.3,0.89,"Sampling_1"
"D",2016-05-17,0.3,0.86,"Sampling_1"
"D",2016-05-22,0.23,0.38,"Sampling_2"
"D",2016-05-27,0.31,0.44,"Sampling_2"
"D",2016-06-03,0.78,1.11,"Sampling_3"
"D",2016-06-08,0.62,0.65,"Sampling_3"
"D",2016-06-16,0.57,0.23,"Sampling_4"
"D",2016-06-22,0.57,0.58,"Sampling_4"
"E",2016-05-11,0.08,0.21,"Sampling_1"
"E",2016-05-17,0,0.79,"Sampling_1"
"E",2016-05-22,0.08,0.48,"Sampling_2"
"E",2016-05-27,0.1,0.37,"Sampling_2"
"E",2016-06-02,0.16,0.22,"Sampling_3"
"E",2016-06-08,0.03,0.14,"Sampling_3"
"E",2016-06-15,0.35,0.45,"Sampling_4"
"E",2016-06-20,0.83,0.64,"Sampling_4"
"F",2016-05-11,0.15,0.12,"Sampling_1"
"F",2016-05-17,0.16,0.24,"Sampling_1"
"F",2016-05-22,0.05,0.02,"Sampling_2"
"F",2016-05-27,0.01,0.01,"Sampling_2"
"F",2016-06-02,0.08,0.08,"Sampling_3"
"F",2016-06-08,0.13,0.19,"Sampling_3"
"F",2016-06-15,0.47,0.28,"Sampling_4"
"F",2016-06-20,0.29,0.14,"Sampling_4"
"G",2016-05-11,0.26,0.26,"Sampling_1"
"G",2016-05-17,0.32,0.19,"Sampling_1"
"G",2016-05-22,0.22,0.22,"Sampling_2"
"G",2016-05-27,0.32,0.3,"Sampling_2"
"G",2016-06-02,0.43,0.22,"Sampling_3"
"G",2016-06-08,0.46,0.3,"Sampling_3"
"G",2016-06-15,0.42,0.26,"Sampling_4"
"G",2016-06-20,0.02,0.25,"Sampling_4"
"H",2016-05-11,0.53,0.61,"Sampling_1"
"H",2016-05-17,0.35,0.59,"Sampling_1"
"H",2016-05-22,0.41,0.55,"Sampling_2"
"H",2016-05-27,0.52,0.63,"Sampling_2"
"H",2016-06-02,0.39,0.91,"Sampling_3"
"H",2016-06-08,0.37,0.9,"Sampling_3"
"H",2016-06-15,0.45,0.63,"Sampling_4"
"H",2016-06-20,NA,1.18,"Sampling_4"
"I",2016-05-11,0.32,0.28,"Sampling_1"
"I",2016-05-17,0.24,0.21,"Sampling_1"
"I",2016-05-22,0.22,0.17,"Sampling_2"
"I",2016-05-27,0.31,0.17,"Sampling_2"
"I",2016-06-02,0.38,0.46,"Sampling_3"
"I",2016-06-08,0.06,0.13,"Sampling_3"
"I",2016-06-15,0.52,0.26,"Sampling_4"
"I",2016-06-20,0.6,0.46,"Sampling_4"
"K",2016-05-11,0.49,0.77,"Sampling_1"
"K",2016-05-17,0.49,0.65,"Sampling_1"
"K",2016-05-22,0.42,0.65,"Sampling_2"
"K",2016-05-27,0.51,0.57,"Sampling_2"
"K",2016-06-02,0.64,0.8,"Sampling_3"
"K",2016-06-08,0.69,0.35,"Sampling_3"
"K",2016-06-15,0.62,0.19,"Sampling_4"
"K",2016-06-21,0.62,0.09,"Sampling_4"
"L",2016-05-11,0.23,0.5,"Sampling_1"
"L",2016-05-17,0.34,0.42,"Sampling_1"
"L",2016-05-22,0.83,0.41,"Sampling_2"
"L",2016-05-27,0.31,0.32,"Sampling_2"
"L",2016-06-02,0.41,0.39,"Sampling_3"
"L",2016-06-08,0.33,NA,"Sampling_3"
"L",2016-06-16,0.51,0.13,"Sampling_4"
"L",2016-06-21,0.33,0.3,"Sampling_4"
"M",2016-05-11,0.25,0.08,"Sampling_1"
"M",2016-05-17,0.13,0.19,"Sampling_1"
"M",2016-05-22,0.07,0.07,"Sampling_2"
"M",2016-05-27,0.11,0.19,"Sampling_2"
"M",2016-06-08,0.05,0.28,"Sampling_3"
"M",2016-06-15,0.33,0.4,"Sampling_4"
"M",2016-06-21,0.14,0.14,"Sampling_4"
"N",2016-05-11,0.42,0.52,"Sampling_1"
"N",2016-05-17,0.47,0.82,"Sampling_1"
"N",2016-05-22,0.4,0.46,"Sampling_2"
"N",2016-05-27,0.41,0.47,"Sampling_2"
"N",2016-06-02,0.47,0.66,"Sampling_3"
"N",2016-06-08,0.64,0.8,"Sampling_3"
"N",2016-06-15,0.71,0.88,"Sampling_4"
"N",2016-06-21,0.76,1.06,"Sampling_4"
"O",2016-05-12,0.58,0.45,"Sampling_1"
"O",2016-05-17,0.51,0.3,"Sampling_1"
"O",2016-05-23,0.47,0.28,"Sampling_2"
"O",2016-05-28,0.48,0.37,"Sampling_2"
"O",2016-06-17,0.6,1.03,"Sampling_4"
"O",2016-06-22,0.56,0.61,"Sampling_4"
"P",2016-05-12,0.35,0.75,"Sampling_1"
"P",2016-05-18,0.42,0.53,"Sampling_1"
"P",2016-05-23,0.51,0.53,"Sampling_2"
"P",2016-05-28,0.34,0.66,"Sampling_2"
"P",2016-06-09,0.38,0.11,"Sampling_3"
"P",2016-06-22,0.25,0.77,"Sampling_4"
"Q",2016-05-12,0.31,0.46,"Sampling_1"
"Q",2016-05-18,0.21,0.16,"Sampling_1"
"Q",2016-05-23,0.35,0.27,"Sampling_2"
"Q",2016-05-28,0.36,0.33,"Sampling_2"
"Q",2016-06-09,0.25,0.25,"Sampling_3"
"Q",2016-06-22,0.01,0.24,"Sampling_4"
"R",2016-05-12,0.28,0.4,"Sampling_1"
"R",2016-05-18,0.25,0.34,"Sampling_1"
"R",2016-05-23,0.31,0.29,"Sampling_2"
"R",2016-05-28,0.28,0.24,"Sampling_2"
"R",2016-06-09,0.04,0.03,"Sampling_3"
"R",2016-06-16,0.5,0.34,"Sampling_4"
"R",2016-06-22,0.31,0.2,"Sampling_4"
"S",2016-05-12,0.39,0.37,"Sampling_1"
"S",2016-05-18,0.48,0.31,"Sampling_1"
"S",2016-05-23,0.28,0.35,"Sampling_2"
"S",2016-06-09,0.68,0.49,"Sampling_3"
"S",2016-06-17,0.72,0.72,"Sampling_4"
"S",2016-06-22,0.12,0.36,"Sampling_4"
"T",2016-05-12,0.64,0.49,"Sampling_1"
"T",2016-05-18,0.69,0.51,"Sampling_1"
"T",2016-05-23,0.47,0.42,"Sampling_2"
"T",2016-05-28,0.45,0.46,"Sampling_2"
"T",2016-06-09,0.47,0.82,"Sampling_3"
"T",2016-06-17,0.8,0.46,"Sampling_4"
"T",2016-06-22,0.73,0.58,"Sampling_4"
