Site,Date,Value,sampling
A,11.05.2016,15,Sampling_1
A,17.05.2016,13.29,Sampling_1
A,22.05.2016,17.8,Sampling_2
A,27.05.2016,19.37,Sampling_2
A,02.06.2016,15.59,Sampling_3
A,08.06.2016,16.51,Sampling_3
A,16.06.2016,15.19,Sampling_4
A,21.06.2016,21.08,Sampling_4
B,11.05.2016,16.7,Sampling_1
B,17.05.2016,14.73,Sampling_1
B,22.05.2016,21.27,Sampling_2
B,27.05.2016,21.65,Sampling_2
B,02.06.2016,17.18,Sampling_3
B,08.06.2016,19.6,Sampling_3
B,16.06.2016,14.41,Sampling_4
B,21.06.2016,17.19,Sampling_4
C,11.05.2016,13.8,Sampling_1
C,17.05.2016,13.84,Sampling_1
C,22.05.2016,16.52,Sampling_2
C,27.05.2016,17.68,Sampling_2
C,02.06.2016,17.8,Sampling_3
C,08.06.2016,16.88,Sampling_3
C,15.06.2016,17.95,Sampling_4
C,20.06.2016,21.57,Sampling_4
D,11.05.2016,14.54,Sampling_1
D,17.05.2016,13.4,Sampling_1
D,22.05.2016,16.28,Sampling_2
D,27.05.2016,19,Sampling_2
D,03.06.2016,14.04,Sampling_3
D,08.06.2016,17.92,Sampling_3
D,16.06.2016,16.82,Sampling_4
D,22.06.2016,18.81,Sampling_4
E,11.05.2016,10.05,Sampling_1
E,17.05.2016,11.17,Sampling_1
E,22.05.2016,12.21,Sampling_2
E,27.05.2016,14.14,Sampling_2
E,02.06.2016,16.4,Sampling_3
E,08.06.2016,13.3,Sampling_3
E,15.06.2016,15.29,Sampling_4
E,20.06.2016,18.4,Sampling_4
F,11.05.2016,10.85,Sampling_1
F,17.05.2016,10.94,Sampling_1
F,22.05.2016,11.7,Sampling_2
F,27.05.2016,13.57,Sampling_2
F,02.06.2016,15.8,Sampling_3
F,08.06.2016,12.8,Sampling_3
F,15.06.2016,15.34,Sampling_4
F,20.06.2016,18.31,Sampling_4
G,11.05.2016,12.31,Sampling_1
G,17.05.2016,11.51,Sampling_1
G,22.05.2016,13,Sampling_2
G,27.05.2016,14.61,Sampling_2
G,02.06.2016,18.8,Sampling_3
G,08.06.2016,13.67,Sampling_3
G,15.06.2016,17.11,Sampling_4
G,20.06.2016,19.58,Sampling_4
H,11.05.2016,16.34,Sampling_1
H,17.05.2016,14.57,Sampling_1
H,22.05.2016,18.65,Sampling_2
H,27.05.2016,19.94,Sampling_2
H,02.06.2016,16.38,Sampling_3
H,08.06.2016,16.77,Sampling_3
H,15.06.2016,17.95,Sampling_4
H,20.06.2016,21.18,Sampling_4
I,11.05.2016,14.4,Sampling_1
I,17.05.2016,16.39,Sampling_1
I,22.05.2016,19.4,Sampling_2
I,27.05.2016,20.77,Sampling_2
I,02.06.2016,16.6,Sampling_3
I,08.06.2016,17.9,Sampling_3
I,15.06.2016,21.31,Sampling_4
I,20.06.2016,24.29,Sampling_4
K,11.05.2016,14.19,Sampling_1
K,17.05.2016,13.17,Sampling_1
K,22.05.2016,17.35,Sampling_2
K,27.05.2016,18.06,Sampling_2
K,02.06.2016,16.21,Sampling_3
K,08.06.2016,15.43,Sampling_3
K,15.06.2016,17,Sampling_4
K,21.06.2016,20.63,Sampling_4
L,11.05.2016,13.6,Sampling_1
L,17.05.2016,12.79,Sampling_1
L,22.05.2016,16.63,Sampling_2
L,27.05.2016,17.22,Sampling_2
L,02.06.2016,15.46,Sampling_3
L,08.06.2016,14.82,Sampling_3
L,16.06.2016,13.75,Sampling_4
L,21.06.2016,17.51,Sampling_4
M,11.05.2016,15.32,Sampling_1
M,17.05.2016,14.76,Sampling_1
M,22.05.2016,16.27,Sampling_2
M,27.05.2016,18.38,Sampling_2
M,02.06.2016,15.04,Sampling_3
M,08.06.2016,16.27,Sampling_3
M,15.06.2016,16.85,Sampling_4
M,21.06.2016,19.77,Sampling_4
N,11.05.2016,12.7,Sampling_1
N,17.05.2016,11.81,Sampling_1
N,22.05.2016,15.39,Sampling_2
N,27.05.2016,16.19,Sampling_2
N,02.06.2016,15.35,Sampling_3
N,08.06.2016,14.8,Sampling_3
N,15.06.2016,15.45,Sampling_4
N,21.06.2016,17.12,Sampling_4
O,12.05.2016,13.43,Sampling_1
O,17.05.2016,9.68,Sampling_1
O,23.05.2016,14.12,Sampling_2
O,28.05.2016,14.25,Sampling_2
O,03.06.2016,NA,Sampling_3
O,09.06.2016,15.12,Sampling_3
O,17.06.2016,17.1,Sampling_4
O,22.06.2016,19.27,Sampling_4
P,12.05.2016,14.56,Sampling_1
P,18.05.2016,10.62,Sampling_1
P,23.05.2016,14.42,Sampling_2
P,28.05.2016,16.02,Sampling_2
P,03.06.2016,16.52,Sampling_3
P,09.06.2016,17.41,Sampling_3
P,17.06.2016,20.14,Sampling_4
P,22.06.2016,22.3,Sampling_4
Q,12.05.2016,10.45,Sampling_1
Q,18.05.2016,8.72,Sampling_1
Q,23.05.2016,12.5,Sampling_2
Q,28.05.2016,13.5,Sampling_2
Q,03.06.2016,13.61,Sampling_3
Q,09.06.2016,12.5,Sampling_3
Q,16.06.2016,15.88,Sampling_4
Q,22.06.2016,17.6,Sampling_4
R,12.05.2016,13.6,Sampling_1
R,18.05.2016,9.36,Sampling_1
R,23.05.2016,17.57,Sampling_2
R,28.05.2016,16.44,Sampling_2
R,03.06.2016,14.1,Sampling_3
R,09.06.2016,14.13,Sampling_3
R,16.06.2016,16.85,Sampling_4
R,22.06.2016,20.65,Sampling_4
S,18.05.2016,13.16,Sampling_1
S,23.05.2016,18.63,Sampling_1
S,28.05.2016,19.19,Sampling_2
S,03.06.2016,16.71,Sampling_2
S,09.06.2016,17.7,Sampling_3
S,17.06.2016,17.13,Sampling_3
S,22.06.2016,23.55,Sampling_4
S ,12.05.2016,16.52,Sampling_4
T,12.05.2016,15.43,Sampling_1
T,18.05.2016,11.85,Sampling_1
T,23.05.2016,17.19,Sampling_2
T,28.05.2016,19.15,Sampling_2
T,03.06.2016,16.32,Sampling_3
T,09.06.2016,16.53,Sampling_3
T,17.06.2016,17.22,Sampling_4
T,22.06.2016,21.82,Sampling_4
